@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,4,5,6,8,9,11,17,18,19,20,22,23,24,25,26,27,29,33,37,39,42,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk3 numeric
@attribute dtfk4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute dtfk6 numeric
@attribute dtsk7 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute ft13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
500,15,109,125,62,0,15,109,125,78,79,94,78,110,94,94,172,78,78,31,1
93,375,110,110,203,0,47,125,78,110,156,125,109,63,109,110,93,484,94,47,1
156,47,141,109,78,78,32,31,47,31,94,62,47,125,62,47,63,78,0,78,1
78,156,47,31,16,531,625,31,62,31,31,62,94,0,47,109,31,78,31,62,1
78,156,31,109,78,671,193,31,15,93,94,62,47,125,62,47,63,79,0,78,1
110,15,141,110,125,125,31,125,125,203,125,93,47,141,31,16,63,109,15,93,1
47,31,94,16,94,0,0,125,93,46,47,79,0,93,1000,78,156,94,0,63,1
32,62,203,110,125,657,720,15,63,453,125,93,47,141,31,16,63,63,15,93,1
94,62,63,63,78,78,31,78,62,62,40,106,47,125,63,94,62,94,78,79,1
78,47,63,79,63,78,250,47,106,63,47,31,78,109,101,176,13,78,62,141,1
63,62,62,63,78,62,188,78,27,63,40,106,47,125,63,94,62,141,78,79,1
78,78,109,109,109,109,31,78,63,78,141,109,140,16,109,203,63,78,63,16,2
78,47,93,125,62,0,31,141,109,32,78,63,109,16,125,63,94,265,78,16,2
78,16,78,109,109,0,16,94,93,109,141,109,140,16,109,203,63,219,63,16,2
375,16,62,94,250,250,31,141,47,94,156,62,94,62,109,47,78,63,93,47,2
94,31,63,47,62,0,32,141,62,156,63,63,79,78,94,62,266,78,110,31,2
171,63,94,94,250,62,94,94,32,62,156,62,94,62,109,47,78,110,93,47,2
109,47,78,94,250,250,47,47,94,62,63,78,32,141,16,78,16,78,63,31,2
63,15,94,78,16,0,47,47,78,16,15,78,31,94,968,63,125,78,63,31,2
32,93,62,94,250,906,1000,47,78,78,63,78,32,141,16,78,16,15,63,31,2
62,16,62,78,109,109,31,63,32,78,16,359,218,47,16,47,62,78,47,46,2
47,359,63,62,47,0,15,94,359,16,62,94,94,15,94,156,16,78,63,47,2
63,78,78,78,109,0,31,94,59,78,16,359,218,47,16,47,62,15,47,46,2
172,437,78,94,140,140,31,62,94,94,125,109,62,94,78,94,109,78,78,78,2
219,15,94,94,78,0,16,62,109,125,78,63,94,109,109,78,78,78,78,63,2
140,110,94,94,140,109,16,78,63,78,125,109,62,94,78,94,109,94,78,78,2
57,4369,69,90,80,80,442,110,65,79,47,78,69,111,63,78,109,37,33,69,2
192,4,98,78,78,70,411,65,78,81,58,150,78,94,141,62,141,13,78,63,2
74,6,79,90,80,73,185,103,109,31,47,78,69,111,63,78,109,15,33,69,2
110,156,94,109,172,172,47,109,63,78,110,78,156,63,78,47,125,63,78,78,2
94,15,78,156,78,0,31,109,78,15,78,63,110,47,109,94,62,94,109,172,2
187,78,78,109,172,0,15,109,47,94,110,78,156,63,78,47,125,266,78,78,2
93,32,63,93,187,187,0,78,93,78,16,78,94,78,63,15,78,88,109,16,2
125,32,94,62,62,110,31,78,78,20,47,63,94,31,109,172,15,32,63,46,2
78,78,78,93,187,109,47,63,16,78,16,78,94,78,63,15,78,15,109,16,2
62,141,63,78,62,62,31,47,46,47,547,1015,79,125,63,203,62,188,47,47,2
62,78,47,62,78,63,94,78,1015,62,31,62,93,110,188,62,485,172,63,62,2
31,109,47,78,62,47,78,109,79,47,547,1015,79,125,63,203,62,125,47,47,2
109,125,78,125,109,109,47,125,78,94,63,109,78,93,94,47,78,78,79,31,2
94,16,78,94,110,78,78,187,109,47,78,78,109,110,94,94,62,78,78,31,2
125,0,94,125,109,93,78,110,78,78,63,109,78,93,94,47,78,31,79,31,2
93,47,110,94,79,79,31,140,47,46,31,79,125,62,110,15,94,78,94,16,2
94,16,62,78,78,98,59,124,79,31,63,93,79,93,78,78,0,32,93,32,2
79,31,46,94,79,94,31,125,62,94,31,79,125,62,110,15,94,32,94,16,2
94,31,79,79,140,140,47,90,78,62,47,78,94,94,78,0,78,78,94,16,2
94,0,62,78,94,0,16,93,78,16,63,78,78,94,94,78,31,15,62,16,2
62,16,62,79,140,0,63,125,0,78,47,78,94,94,78,0,78,15,94,16,2
63,343,46,47,78,78,125,79,47,62,94,156,63,109,110,234,31,78,62,31,2
63,0,47,93,63,125,62,141,156,47,32,47,62,125,140,63,94,78,47,47,2
203,47,62,47,78,79,46,110,78,62,94,156,63,109,110,234,31,47,62,31,2
140,31,109,94,172,172,15,100,78,63,78,62,141,62,110,109,94,93,94,47,2
125,32,94,93,78,94,46,110,62,16,47,46,109,31,110,78,47,78,78,62,2
31,109,63,94,172,78,94,125,141,94,78,62,141,62,110,109,94,46,94,47,2
63,78,62,62,78,78,62,79,62,62,109,94,78,93,63,78,62,31,63,47,2
78,62,62,63,63,63,125,62,94,47,62,63,78,94,79,93,78,47,78,62,2
94,78,62,62,78,47,125,63,0,63,109,94,78,93,63,78,62,31,63,47,2
109,47,31,78,125,125,47,47,110,78,15,78,47,63,16,110,62,47,78,0,2
47,16,78,16,32,484,500,47,78,16,31,78,31,62,78,109,62,94,16,94,2
94,156,78,78,125,0,47,62,78,94,15,78,47,63,16,110,62,93,78,0,2
94,32,78,62,78,78,172,62,63,93,141,79,79,78,78,63,93,15,62,31,2
94,16,78,93,94,109,157,78,79,94,94,78,78,110,141,78,94,47,78,94,2
110,78,93,62,78,47,156,94,62,78,141,79,79,78,78,63,93,156,62,31,2
94,109,63,63,78,78,187,63,63,47,156,109,78,94,78,188,78,78,47,78,2
94,47,78,62,62,63,62,78,109,78,63,78,63,109,156,62,125,78,63,62,2
63,62,47,63,78,63,140,47,63,78,156,109,78,94,78,188,78,47,47,78,2
78,47,125,156,78,78,78,180,78,78,78,62,31,109,46,93,0,94,78,31,2
94,15,125,15,47,141,47,187,62,31,94,63,15,125,1390,63,141,94,93,0,2
47,47,78,156,78,0,15,172,94,94,78,62,31,109,46,93,0,31,78,31,2
62,79,94,78,109,109,31,125,63,31,63,94,141,0,15,93,32,78,78,32,2
78,125,94,47,31,110,31,125,94,31,94,46,63,172,0,125,500,78,63,93,2
78,31,31,78,109,0,0,94,0,109,63,94,141,0,15,93,32,94,78,32,2
