@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R4,5,6,7,8,9,10,11,15,17,24,25,26,27,28,29,33,37,38,39,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtfk6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute ft8 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
78,156,32,78,671,193,15,0,78,32,93,16,0,62,47,125,62,47,63,0,78,16,1
110,15,109,125,125,31,125,47,63,125,203,203,32,93,47,141,31,16,63,15,93,47,1
47,31,109,94,0,0,93,78,0,16,46,16,47,79,0,93,1000,78,156,0,63,93,1
32,62,0,125,657,720,63,125,250,78,453,94,78,93,47,141,31,16,63,15,93,47,1
94,62,62,78,78,31,62,78,78,79,62,63,203,106,47,125,63,94,62,78,79,62,1
78,47,62,63,78,250,106,91,94,93,63,78,125,31,78,109,101,176,13,62,141,62,1
63,62,63,78,62,188,27,115,78,140,63,74,67,106,47,125,63,94,62,78,79,62,1
78,78,110,109,109,31,63,78,47,234,78,110,156,109,140,16,109,203,63,63,16,62,2
78,47,78,62,0,31,109,203,94,109,32,78,187,63,109,16,125,63,94,78,16,78,2
78,16,78,109,0,16,93,62,125,109,109,63,78,109,140,16,109,203,63,63,16,62,2
375,16,78,250,250,31,47,94,109,62,94,109,78,62,94,62,109,47,78,93,47,110,2
94,31,78,62,0,32,62,16,47,125,156,78,125,63,79,78,94,62,266,110,31,78,2
171,63,16,250,62,94,32,172,63,15,62,109,78,62,94,62,109,47,78,93,47,110,2
109,47,172,250,250,47,94,63,62,47,62,47,31,78,32,141,16,78,16,63,31,78,2
