@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R2,4,5,7,8,9,10,11,15,16,17,18,19,23,24,25,26,27,29,39,43'

@attribute dtfk1 numeric
@attribute dtsk1 numeric
@attribute dtsk2 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
31,0,78,250,844,938,32,78,94,78,63,125,47,63,109,32,93,78,63,93,78,63,1
156,94,93,171,171,16,62,63,156,31,375,156,47,78,63,16,78,47,78,78,31,125,1
62,94,16,47,110,31,109,47,93,63,78,78,47,125,16,109,0,62,16,94,15,94,1
47,62,93,171,94,31,125,109,125,31,375,156,47,78,63,16,78,94,62,78,31,125,1
125,110,78,78,78,203,0,78,78,141,63,94,78,94,93,16,78,78,78,93,32,62,1
187,78,63,63,0,0,63,78,93,234,110,110,93,78,94,93,32,78,32,94,31,78,1
78,78,62,78,94,171,16,62,79,141,63,94,78,94,93,16,78,78,16,93,32,62,1
125,94,109,78,78,110,140,63,62,94,110,47,156,79,94,265,94,63,422,93,94,78,1
110,94,78,93,94,78,328,63,109,93,63,78,109,79,156,94,140,93,547,110,125,93,1
94,93,78,78,93,250,187,78,109,94,110,47,156,79,94,265,94,93,203,93,94,78,1
63,93,47,156,156,31,125,78,141,78,73,78,31,125,79,15,110,78,78,62,31,63,1
62,47,47,47,0,594,125,78,78,62,63,140,0,63,47,110,62,31,47,63,31,78,1
78,31,63,156,0,16,31,63,78,78,73,78,31,125,79,15,110,78,172,62,31,63,1
109,110,109,438,438,31,31,94,110,94,78,109,125,109,109,16,78,15,78,78,0,94,1
94,109,110,78,0,32,78,15,63,63,78,125,31,62,687,94,78,32,110,78,31,94,1
78,32,93,438,0,31,31,94,0,94,78,109,125,109,109,16,78,94,62,78,0,94,1
125,110,125,594,594,47,141,62,125,47,78,47,62,109,125,16,93,0,125,78,32,93,1
93,94,125,78,125,31,110,0,78,62,62,125,62,125,172,78,94,94,15,94,47,93,1
156,94,63,594,234,16,78,94,109,47,78,47,62,109,125,16,93,93,125,78,32,93,1
62,93,47,63,63,171,32,78,78,63,93,78,78,47,78,172,78,63,78,46,79,78,1
172,93,47,47,47,31,15,63,78,62,63,78,94,63,125,62,47,63,125,62,63,78,1
62,63,63,63,46,47,16,62,62,63,93,78,78,47,78,172,78,78,62,46,79,78,1
93,156,172,225,225,40,47,78,15,47,109,78,63,93,47,15,62,32,93,94,47,94,1
78,109,109,62,609,734,93,32,109,78,78,79,78,172,110,94,78,78,0,15,62,47,1
78,78,47,225,0,47,31,172,47,47,109,78,63,93,47,15,62,47,78,94,47,94,1
63,63,63,140,140,188,578,94,78,47,141,78,94,188,47,78,62,47,109,93,63,62,1
62,125,63,78,125,207,78,47,94,47,63,78,125,62,93,110,78,47,438,94,31,94,1
