@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,2,4,5,8,9,11,14,16,17,18,19,23,24,25,26,27,29,38,39,43'

@attribute dtsk1 numeric
@attribute dtsk2 numeric
@attribute dtfk3 numeric
@attribute dtfk4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute dtsk5 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
94,16,125,78,63,0,125,78,0,172,78,63,78,93,32,31,109,187,94,94,31,78,1
94,110,78,78,141,187,94,63,62,78,47,63,62,140,63,109,78,16,78,110,62,156,1
94,109,109,297,203,203,137,16,94,78,157,125,94,78,109,141,94,78,94,109,31,110,1
78,125,94,93,78,156,137,0,94,94,110,79,109,63,141,375,78,109,15,78,15,78,1
15,62,94,297,203,0,140,16,172,78,157,125,94,78,109,141,94,78,78,109,31,110,1
125,109,109,110,203,203,109,47,110,110,156,125,109,63,78,109,110,93,78,94,47,78,1
156,93,109,125,62,0,109,109,78,110,79,94,78,110,109,94,94,172,79,78,31,94,1
79,63,110,110,203,0,125,31,110,78,156,125,109,63,78,109,110,93,94,94,47,78,1
78,141,141,109,78,78,31,47,31,78,94,62,47,125,47,62,47,63,31,0,78,16,1
32,47,47,31,16,531,31,79,31,31,31,62,94,0,62,47,109,31,32,31,62,0,1
32,62,31,109,78,671,31,32,93,16,94,62,47,125,47,62,47,63,0,0,78,16,1
109,141,141,110,125,125,125,125,203,203,125,93,47,141,31,31,16,63,46,15,93,47,1
109,125,94,16,94,0,125,16,46,16,47,79,0,93,47,1000,78,156,0,0,63,93,1
0,47,203,110,125,657,15,78,453,94,125,93,47,141,31,31,16,63,93,15,93,47,1
62,63,63,63,78,78,78,79,62,63,40,106,47,125,63,63,94,62,63,78,79,62,1
62,46,63,79,63,78,47,93,63,78,47,31,78,109,63,101,176,13,63,62,141,62,1
63,46,62,63,78,62,78,140,63,74,40,106,47,125,63,63,94,62,62,78,79,62,1
110,109,109,109,109,109,78,234,78,110,141,109,140,16,62,109,203,63,32,63,16,62,2
78,94,93,125,62,0,141,109,32,78,78,63,109,16,78,125,63,94,78,78,16,78,2
78,125,78,109,109,0,94,109,109,63,141,109,140,16,62,109,203,63,78,63,16,62,2
78,62,62,94,250,250,141,62,94,109,156,62,94,62,94,109,47,78,156,93,47,110,2
78,110,63,47,62,0,141,125,156,78,63,63,79,78,62,94,62,266,16,110,31,78,2
16,31,94,94,250,62,94,15,62,109,156,62,94,62,94,109,47,78,78,93,47,110,2
172,78,78,94,250,250,47,47,62,47,63,78,32,141,31,16,78,16,16,63,31,78,2
109,109,94,78,16,0,47,125,16,94,15,78,31,94,31,968,63,125,16,63,31,110,2
16,62,62,94,250,906,47,203,78,91,63,78,32,141,31,16,78,16,110,63,31,78,2
109,62,62,78,109,109,63,32,78,62,16,359,218,47,16,16,47,62,16,47,46,63,2
94,47,63,62,47,0,94,47,16,62,62,94,94,15,62,94,156,16,16,63,47,47,2
16,16,78,78,109,0,94,78,78,62,16,359,218,47,16,16,47,62,47,47,46,63,2
94,78,78,94,140,140,62,16,94,94,125,109,62,94,62,78,94,109,125,78,78,62,2
94,78,94,94,78,0,62,109,125,94,78,63,94,109,62,109,78,78,16,78,63,78,2
16,63,94,94,140,109,78,16,78,62,125,109,62,94,62,78,94,109,78,78,78,62,2
113,69,69,90,80,80,110,36,79,79,47,78,69,111,41,63,78,109,81,33,69,61,2
79,72,98,78,78,70,65,24,81,94,58,150,78,94,94,141,62,141,79,78,63,78,2
79,79,79,90,80,73,103,73,31,47,47,78,69,111,41,63,78,109,78,33,69,61,2
125,94,94,109,172,172,109,78,78,109,110,78,156,63,141,78,47,125,15,78,78,125,2
94,78,78,156,78,0,109,94,15,110,78,63,110,47,62,109,94,62,410,109,172,125,2
410,94,78,109,172,0,109,172,94,141,110,78,156,63,141,78,47,125,125,78,78,125,2
125,63,63,93,187,187,78,31,78,78,16,78,94,78,47,63,15,78,20,109,16,93,2
94,32,94,62,62,110,78,117,20,94,47,63,94,31,63,109,172,15,32,63,46,125,2
32,78,78,93,187,109,63,15,78,94,16,78,94,78,47,63,15,78,125,109,16,93,2
78,63,63,78,62,62,47,109,47,94,547,1015,79,125,62,63,203,62,62,47,47,78,2
63,47,47,62,78,63,78,125,62,63,31,62,93,110,93,188,62,485,47,63,62,63,2
47,78,47,78,62,47,109,219,47,63,547,1015,79,125,62,63,203,62,63,47,47,78,2
109,78,78,125,109,109,125,0,94,94,63,109,78,93,203,94,47,78,47,79,31,78,2
78,78,78,94,110,78,187,62,47,109,78,78,109,110,62,94,94,62,78,78,31,94,2
78,94,94,125,109,93,110,31,78,94,63,109,78,93,203,94,47,78,94,79,31,78,2
125,110,110,94,79,79,140,16,46,110,31,79,125,62,109,110,15,94,31,94,16,78,2
62,125,62,78,78,98,124,94,31,94,63,93,79,93,140,78,78,0,62,93,32,62,2
62,344,46,94,79,94,125,16,94,78,31,79,125,62,109,110,15,94,62,94,16,78,2
78,79,79,79,140,140,90,0,62,110,47,78,94,94,47,78,0,78,16,94,16,78,2
63,94,62,78,94,0,93,140,16,78,63,78,78,94,78,94,78,31,78,62,16,94,2
78,63,62,79,140,0,125,31,78,109,47,78,94,94,47,78,0,78,94,94,16,78,2
63,46,46,47,78,78,79,16,62,156,94,156,63,109,62,110,234,31,47,62,31,47,2
78,47,47,93,63,125,141,62,47,78,32,47,62,125,63,140,63,94,16,47,47,62,2
16,16,62,47,78,79,110,16,62,47,94,156,63,109,62,110,234,31,62,62,31,47,2
141,109,109,94,172,172,100,46,63,94,78,62,141,62,125,110,109,94,16,94,47,62,2
110,78,94,93,78,94,110,141,16,94,47,46,109,31,110,110,78,47,16,78,62,79,2
16,94,63,94,172,78,125,15,94,516,78,62,141,62,125,110,109,94,79,94,47,62,2
78,62,62,62,78,78,79,78,62,78,109,94,78,93,63,63,78,62,47,63,47,62,2
79,63,62,63,63,63,62,125,47,63,62,63,78,94,63,79,93,78,78,78,62,63,2
78,63,62,62,78,47,63,78,63,78,109,94,78,93,63,63,78,62,63,63,47,62,2
63,31,31,78,125,125,47,16,78,78,15,78,47,63,109,16,110,62,16,78,0,31,2
78,78,78,16,32,484,47,47,16,16,31,78,31,62,79,78,109,62,0,16,94,16,2
0,47,78,78,125,0,62,78,94,78,15,78,47,63,109,16,110,62,16,78,0,31,2
109,78,78,62,78,78,62,78,93,94,141,79,79,78,78,78,63,93,94,62,31,79,2
93,62,78,93,94,109,78,141,94,110,94,78,78,110,78,141,78,94,78,78,94,94,2
78,63,93,62,78,47,94,63,78,79,141,79,79,78,78,78,63,93,94,62,31,79,2
62,63,63,63,78,78,63,62,47,63,156,109,78,94,63,78,188,78,78,47,78,63,2
63,62,78,62,62,63,78,94,78,78,63,78,63,109,78,156,62,125,63,63,62,47,2
63,47,47,63,78,63,47,47,78,62,156,109,78,94,63,78,188,78,47,47,78,63,2
157,125,125,156,78,78,180,16,78,266,78,62,31,109,47,46,93,0,31,78,31,63,2
94,94,125,15,47,141,187,47,31,156,94,63,15,125,46,1390,63,141,16,93,0,63,2
16,0,78,156,78,0,172,94,94,31,78,62,31,109,47,46,93,0,63,78,31,63,2
109,94,94,78,109,109,125,141,31,110,63,94,141,0,62,15,93,32,31,78,32,93,2
93,16,94,47,31,110,125,78,31,156,94,46,63,172,16,0,125,500,78,63,93,78,2
78,94,31,78,109,0,94,47,109,63,63,94,141,0,62,15,93,32,78,78,32,93,2
