@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R2,4,5,7,8,10,14,16,17,18,22,23,24,25,26,27,33,35,38,39,40,43'

@attribute dtfk1 numeric
@attribute dtsk1 numeric
@attribute dtsk2 numeric
@attribute dtsk3 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute dtsk5 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtfk12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
62,47,47,63,16,47,0,656,62,125,78,62,78,63,140,0,47,62,31,31,78,1
78,31,63,62,93,156,0,94,94,31,63,78,56,73,78,31,79,110,78,31,63,1
109,110,109,47,391,438,438,46,78,31,94,94,31,78,109,125,109,78,15,0,94,1
94,109,110,94,141,78,0,46,31,78,15,63,62,78,125,31,687,78,32,31,94,1
78,32,93,78,391,438,0,94,110,31,94,94,31,78,109,125,109,78,94,0,94,1
125,110,125,93,485,594,594,140,78,141,62,47,78,78,47,62,125,93,0,32,93,1
93,94,125,94,47,78,125,141,32,110,0,62,94,62,125,62,172,94,94,47,93,1
156,94,63,94,485,594,234,109,125,78,94,47,78,78,47,62,125,93,93,32,93,1
62,93,47,31,125,63,63,79,62,32,78,63,47,93,78,78,78,78,63,79,78,1
172,93,47,63,46,47,47,94,78,15,63,62,78,63,78,94,125,47,63,63,78,1
62,63,63,62,125,63,46,94,62,16,62,63,47,93,78,78,78,78,78,79,78,1
93,156,172,79,128,225,225,110,63,47,78,47,62,109,78,63,47,62,32,47,94,1
78,109,109,63,47,62,609,0,79,93,32,78,78,78,79,78,110,78,78,62,47,1
78,78,47,78,128,225,0,141,94,31,172,47,62,109,78,63,47,62,47,47,94,1
63,63,63,93,63,140,140,109,63,578,94,47,94,141,78,94,47,62,47,63,62,1
62,125,63,31,62,78,125,109,94,78,47,47,78,63,78,125,93,78,47,31,94,1
62,47,63,78,63,140,47,94,125,453,78,47,94,141,78,94,47,62,94,63,62,1
78,94,78,40,271,380,380,125,47,16,62,47,62,63,125,32,47,78,32,16,78,1
62,78,0,79,32,78,0,125,62,31,32,63,62,63,312,63,62,141,62,31,79,1
63,62,78,94,271,380,125,94,62,0,32,47,62,63,125,32,47,78,79,16,78,1
78,94,78,78,140,79,79,93,47,141,62,125,47,63,63,93,63,62,63,110,78,1
63,78,63,62,94,62,94,125,78,78,63,62,78,63,78,110,110,78,78,47,78,1
63,78,47,47,140,79,78,125,63,125,83,125,47,63,63,93,63,62,78,110,78,1
126,125,78,109,31,172,172,156,94,16,93,0,93,453,140,47,32,79,31,32,78,1
125,125,16,110,15,78,110,156,31,63,31,93,110,78,829,31,109,110,62,31,109,1
