@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R4,5,6,7,8,13,15,16,17,18,20,21,22,23,24,25,26,27,28,29,32,34,38,39,40,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute ft5 numeric
@attribute dtfk7 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute dtsk11 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
172,15,93,63,79,46,47,31,78,63,78,63,62,47,63,63,78,1
62,0,63,62,31,125,63,47,62,93,78,47,172,78,78,79,78,1
93,547,156,79,79,128,225,40,63,109,78,93,15,62,32,47,94,1
78,16,109,63,78,47,62,734,79,78,79,172,94,78,78,62,47,1
78,78,78,78,79,128,225,47,94,109,78,93,15,62,47,47,94,1
63,15,63,93,93,63,140,188,63,141,78,188,78,62,47,63,62,1
62,78,125,31,79,62,78,207,94,63,78,62,110,78,47,31,94,1
62,31,47,78,93,63,140,687,125,141,78,188,78,62,94,63,62,1
78,47,94,40,40,271,380,47,47,63,125,0,15,78,32,16,78,1
62,31,78,79,78,32,78,47,62,63,312,94,94,141,62,31,79,1
63,0,62,94,40,271,380,140,62,63,125,0,15,78,79,16,78,1
78,94,94,78,78,140,79,250,47,63,63,63,125,62,63,110,78,1
63,47,78,62,63,94,62,125,78,63,78,62,62,78,78,47,78,1
63,78,78,47,78,140,79,172,63,63,63,63,125,62,78,110,78,1
126,31,125,109,109,31,172,31,94,453,140,63,46,79,31,32,78,1
125,46,125,110,125,15,78,125,31,78,829,93,78,110,62,31,109,1
141,0,62,78,109,31,172,93,94,453,140,63,46,79,109,32,78,1
62,78,110,63,63,78,62,94,78,110,78,63,0,78,31,62,63,1
94,0,78,62,78,61,52,94,63,63,62,62,94,15,31,47,78,1
94,47,31,47,63,78,62,78,94,110,78,63,0,78,78,62,63,1
125,16,94,93,93,188,78,31,110,62,78,78,125,110,125,32,125,1
156,16,62,94,78,0,78,31,156,63,62,62,94,235,125,235,125,1
109,31,125,109,93,188,78,0,156,62,78,78,125,110,125,32,125,1
125,16,109,47,47,109,203,47,31,94,157,62,31,47,156,16,62,1
47,78,16,31,344,94,0,140,0,78,0,63,156,16,31,31,94,1
16,79,31,62,47,109,203,15,125,94,157,62,31,47,94,16,62,1
141,62,110,78,78,203,78,249,78,93,94,79,47,109,78,109,94,1
109,63,93,78,62,157,78,204,78,93,94,78,94,110,78,125,93,1
110,0,78,78,78,203,78,63,94,93,94,79,47,109,93,109,94,1
156,47,47,78,78,79,110,15,78,79,63,15,31,63,48,109,78,1
15,63,31,31,15,94,31,0,16,63,16,62,109,31,16,109,16,1
63,15,16,16,78,79,110,125,625,79,63,15,31,63,16,109,78,1
156,16,125,187,187,109,157,156,110,63,94,63,157,171,110,15,94,1
125,110,109,109,78,141,47,0,125,62,16,62,172,78,531,63,93,1
250,110,531,125,187,109,157,156,141,63,94,63,157,171,93,15,94,1
125,93,125,94,94,125,125,78,109,94,125,78,110,93,94,62,79,1
141,78,125,94,94,47,109,32,110,78,156,110,94,453,94,94,94,1
109,16,94,109,94,125,125,47,125,94,125,78,110,93,94,62,79,1
78,63,109,78,78,125,94,219,78,78,78,46,46,63,63,62,94,1
109,32,62,78,94,31,78,187,110,47,94,78,63,109,63,109,63,1
78,78,63,94,78,125,94,234,93,78,78,46,46,63,63,62,94,1
