@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,4,5,6,7,9,10,11,17,18,21,22,24,25,26,27,30,38,39,42,43'

@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute ft3 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute dtfk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute ft8 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
0,109,47,78,0,32,46,78,31,78,109,63,62,125,31,62,687,94,78,32,78,31,1
109,32,31,438,0,31,94,78,110,31,94,94,31,109,125,109,109,16,78,94,78,0,1
31,110,79,594,594,47,140,94,78,141,109,47,78,47,62,109,125,16,93,0,78,32,1
16,94,125,78,125,31,141,78,32,110,110,62,94,125,62,125,172,78,94,94,94,47,1
16,94,31,594,234,16,109,94,125,78,94,47,78,47,62,109,125,16,93,93,78,32,1
63,93,78,63,63,171,79,63,62,32,78,63,47,78,78,47,78,172,78,63,46,79,1
15,93,47,47,47,31,94,93,78,15,63,62,78,78,94,63,125,62,47,63,62,63,1
0,63,47,63,46,47,94,94,62,16,79,63,47,78,78,47,78,172,78,78,46,79,1
547,156,292,225,225,40,110,63,63,47,140,47,62,78,63,93,47,15,62,32,94,47,1
16,109,0,62,609,734,0,109,79,93,47,78,78,79,78,172,110,94,78,78,15,62,1
78,78,297,225,0,47,141,93,94,31,109,47,62,78,63,93,47,15,62,47,94,47,1
15,63,16,140,140,188,109,31,63,578,125,47,94,78,94,188,47,78,62,47,93,63,1
78,125,78,78,125,207,109,141,94,78,94,47,78,78,125,62,93,110,78,47,94,31,1
31,47,62,140,47,687,94,78,125,453,766,47,94,78,94,188,47,78,62,94,93,63,1
47,94,52,380,380,47,125,79,47,16,94,47,62,125,32,0,47,15,78,32,62,16,1
31,78,31,78,0,47,125,63,62,31,94,63,62,312,63,94,62,94,141,62,78,31,1
