@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,4,5,6,8,9,11,14,16,17,18,19,20,21,23,24,25,26,27,29,37,38,39,40,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk3 numeric
@attribute dtfk4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute dtsk5 numeric
@attribute dtfk8 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
78,15,125,78,63,0,125,172,78,63,78,93,32,31,109,187,31,78,1
78,31,78,78,141,187,94,78,47,63,62,140,63,109,78,16,62,156,1
93,47,109,297,203,203,137,78,157,125,94,78,109,141,94,78,31,110,1
172,16,94,93,78,156,137,94,110,79,109,63,141,375,78,109,15,78,1
62,110,94,297,203,0,140,78,157,125,94,78,109,141,94,78,31,110,1
94,78,109,110,203,203,109,110,156,125,109,63,78,109,110,93,47,78,1
500,15,109,125,62,0,109,110,79,94,78,110,109,94,94,172,31,94,1
93,375,110,110,203,0,125,78,156,125,109,63,78,109,110,93,47,78,1
156,47,141,109,78,78,31,78,94,62,47,125,47,62,47,63,78,16,1
78,156,47,31,16,531,31,31,31,62,94,0,62,47,109,31,62,0,1
78,156,31,109,78,671,31,16,94,62,47,125,47,62,47,63,78,16,1
110,15,141,110,125,125,125,203,125,93,47,141,31,31,16,63,93,47,1
47,31,94,16,94,0,125,16,47,79,0,93,47,1000,78,156,63,93,1
32,62,203,110,125,657,15,94,125,93,47,141,31,31,16,63,93,47,1
94,62,63,63,78,78,78,63,40,106,47,125,63,63,94,62,79,62,1
78,47,63,79,63,78,47,78,47,31,78,109,63,101,176,13,141,62,1
63,62,62,63,78,62,78,74,40,106,47,125,63,63,94,62,79,62,1
78,78,109,109,109,109,78,110,141,109,140,16,62,109,203,63,16,62,2
78,47,93,125,62,0,141,78,78,63,109,16,78,125,63,94,16,78,2
78,16,78,109,109,0,94,63,141,109,140,16,62,109,203,63,16,62,2
375,16,62,94,250,250,141,109,156,62,94,62,94,109,47,78,47,110,2
94,31,63,47,62,0,141,78,63,63,79,78,62,94,62,266,31,78,2
171,63,94,94,250,62,94,109,156,62,94,62,94,109,47,78,47,110,2
109,47,78,94,250,250,47,47,63,78,32,141,31,16,78,16,31,78,2
63,15,94,78,16,0,47,94,15,78,31,94,31,968,63,125,31,110,2
32,93,62,94,250,906,47,91,63,78,32,141,31,16,78,16,31,78,2
62,16,62,78,109,109,63,62,16,359,218,47,16,16,47,62,46,63,2
47,359,63,62,47,0,94,62,62,94,94,15,62,94,156,16,47,47,2
63,78,78,78,109,0,94,62,16,359,218,47,16,16,47,62,46,63,2
172,437,78,94,140,140,62,94,125,109,62,94,62,78,94,109,78,62,2
219,15,94,94,78,0,62,94,78,63,94,109,62,109,78,78,63,78,2
140,110,94,94,140,109,78,62,125,109,62,94,62,78,94,109,78,62,2
57,4369,69,90,80,80,110,79,47,78,69,111,41,63,78,109,69,61,2
192,4,98,78,78,70,65,94,58,150,78,94,94,141,62,141,63,78,2
74,6,79,90,80,73,103,47,47,78,69,111,41,63,78,109,69,61,2
110,156,94,109,172,172,109,109,110,78,156,63,141,78,47,125,78,125,2
94,15,78,156,78,0,109,110,78,63,110,47,62,109,94,62,172,125,2
187,78,78,109,172,0,109,141,110,78,156,63,141,78,47,125,78,125,2
93,32,63,93,187,187,78,78,16,78,94,78,47,63,15,78,16,93,2
125,32,94,62,62,110,78,94,47,63,94,31,63,109,172,15,46,125,2
78,78,78,93,187,109,63,94,16,78,94,78,47,63,15,78,16,93,2
62,141,63,78,62,62,47,94,547,1015,79,125,62,63,203,62,47,78,2
62,78,47,62,78,63,78,63,31,62,93,110,93,188,62,485,62,63,2
31,109,47,78,62,47,109,63,547,1015,79,125,62,63,203,62,47,78,2
109,125,78,125,109,109,125,94,63,109,78,93,203,94,47,78,31,78,2
94,16,78,94,110,78,187,109,78,78,109,110,62,94,94,62,31,94,2
125,0,94,125,109,93,110,94,63,109,78,93,203,94,47,78,31,78,2
93,47,110,94,79,79,140,110,31,79,125,62,109,110,15,94,16,78,2
94,16,62,78,78,98,124,94,63,93,79,93,140,78,78,0,32,62,2
79,31,46,94,79,94,125,78,31,79,125,62,109,110,15,94,16,78,2
94,31,79,79,140,140,90,110,47,78,94,94,47,78,0,78,16,78,2
94,0,62,78,94,0,93,78,63,78,78,94,78,94,78,31,16,94,2
62,16,62,79,140,0,125,109,47,78,94,94,47,78,0,78,16,78,2
63,343,46,47,78,78,79,156,94,156,63,109,62,110,234,31,31,47,2
63,0,47,93,63,125,141,78,32,47,62,125,63,140,63,94,47,62,2
203,47,62,47,78,79,110,47,94,156,63,109,62,110,234,31,31,47,2
140,31,109,94,172,172,100,94,78,62,141,62,125,110,109,94,47,62,2
125,32,94,93,78,94,110,94,47,46,109,31,110,110,78,47,62,79,2
31,109,63,94,172,78,125,516,78,62,141,62,125,110,109,94,47,62,2
63,78,62,62,78,78,79,78,109,94,78,93,63,63,78,62,47,62,2
78,62,62,63,63,63,62,63,62,63,78,94,63,79,93,78,62,63,2
