@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,4,5,6,8,9,11,15,16,17,18,20,22,23,24,25,26,27,29,39,41,42,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk3 numeric
@attribute dtfk4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtfk7 numeric
@attribute dtsk7 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtfk14 numeric
@attribute gender {1,2}

@data
93,375,110,110,203,0,47,141,110,156,125,109,63,78,109,110,93,94,484,94,1
156,47,141,109,78,78,32,15,31,94,62,47,125,47,62,47,63,31,78,0,1
78,156,47,31,16,531,625,47,31,31,62,94,0,62,47,109,31,32,78,31,1
78,156,31,109,78,671,193,78,93,94,62,47,125,47,62,47,63,0,79,0,1
110,15,141,110,125,125,31,63,203,125,93,47,141,31,31,16,63,46,109,15,1
47,31,94,16,94,0,0,0,46,47,79,0,93,47,1000,78,156,0,94,0,1
32,62,203,110,125,657,720,250,453,125,93,47,141,31,31,16,63,93,63,15,1
94,62,63,63,78,78,31,78,62,40,106,47,125,63,63,94,62,63,94,78,1
78,47,63,79,63,78,250,94,63,47,31,78,109,63,101,176,13,63,78,62,1
63,62,62,63,78,62,188,78,63,40,106,47,125,63,63,94,62,62,141,78,1
78,78,109,109,109,109,31,47,78,141,109,140,16,62,109,203,63,32,78,63,2
78,47,93,125,62,0,31,94,32,78,63,109,16,78,125,63,94,78,265,78,2
78,16,78,109,109,0,16,125,109,141,109,140,16,62,109,203,63,78,219,63,2
375,16,62,94,250,250,31,109,94,156,62,94,62,94,109,47,78,156,63,93,2
94,31,63,47,62,0,32,47,156,63,63,79,78,62,94,62,266,16,78,110,2
171,63,94,94,250,62,94,63,62,156,62,94,62,94,109,47,78,78,110,93,2
109,47,78,94,250,250,47,62,62,63,78,32,141,31,16,78,16,16,78,63,2
63,15,94,78,16,0,47,47,16,15,78,31,94,31,968,63,125,16,78,63,2
32,93,62,94,250,906,1000,94,78,63,78,32,141,31,16,78,16,110,15,63,2
62,16,62,78,109,109,31,62,78,16,359,218,47,16,16,47,62,16,78,47,2
47,359,63,62,47,0,15,31,16,62,94,94,15,62,94,156,16,16,78,63,2
63,78,78,78,109,0,31,125,78,16,359,218,47,16,16,47,62,47,15,47,2
172,437,78,94,140,140,31,93,94,125,109,62,94,62,78,94,109,125,78,78,2
219,15,94,94,78,0,16,31,125,78,63,94,109,62,109,78,78,16,78,78,2
140,110,94,94,140,109,16,109,78,125,109,62,94,62,78,94,109,78,94,78,2
