@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,4,5,6,7,8,9,10,14,17,18,21,23,24,25,26,27,29,33,35,37,38,39,40,41,42,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute dtsk5 numeric
@attribute dtfk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtfk8 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtfk12 numeric
@attribute dtsk12 numeric
@attribute gender {1,2}

@data
63,78,31,109,0,94,59,125,78,62,16,359,218,47,16,62,2
172,437,31,140,140,62,94,93,16,94,125,109,62,94,78,109,2
219,15,62,78,0,62,109,31,109,94,78,63,94,109,109,78,2
140,110,31,140,109,78,63,109,16,62,125,109,62,94,78,109,2
57,4369,63,80,80,110,65,89,36,79,47,78,69,111,63,109,2
192,4,31,78,70,65,78,89,24,94,58,150,78,94,141,141,2
74,6,63,80,73,103,109,11,73,47,47,78,69,111,63,109,2
110,156,63,172,172,109,63,79,78,109,110,78,156,63,78,125,2
94,15,16,78,0,109,78,109,94,110,78,63,110,47,109,62,2
187,78,63,172,0,109,47,93,172,141,110,78,156,63,78,125,2
93,32,32,187,187,78,93,63,31,78,16,78,94,78,63,78,2
125,32,16,62,110,78,78,47,117,94,47,63,94,31,109,15,2
78,78,32,187,109,63,16,63,15,94,16,78,94,78,63,78,2
62,141,219,62,62,47,46,63,109,94,547,1015,79,125,63,62,2
62,78,63,78,63,78,1015,79,125,63,31,62,93,110,188,485,2
31,109,219,62,47,109,79,94,219,63,547,1015,79,125,63,62,2
109,125,63,109,109,125,78,94,0,94,63,109,78,93,94,78,2
94,16,31,110,78,187,109,16,62,109,78,78,109,110,94,62,2
125,0,63,109,93,110,78,94,31,94,63,109,78,93,94,78,2
93,47,31,79,79,140,47,78,16,110,31,79,125,62,110,94,2
94,16,32,78,98,124,79,62,94,94,63,93,79,93,78,0,2
79,31,31,79,94,125,62,78,16,78,31,79,125,62,110,94,2
94,31,15,140,140,90,78,109,0,110,47,78,94,94,78,78,2
94,0,32,94,0,93,78,31,140,78,63,78,78,94,94,31,2
62,16,15,140,0,125,0,62,31,109,47,78,94,94,78,78,2
63,343,62,78,78,79,47,62,16,156,94,156,63,109,110,31,2
63,0,47,63,125,141,156,110,62,78,32,47,62,125,140,94,2
203,47,62,78,79,110,78,62,16,47,94,156,63,109,110,31,2
140,31,62,172,172,100,78,94,46,94,78,62,141,62,110,94,2
125,32,32,78,94,110,62,16,141,94,47,46,109,31,110,47,2
31,109,62,172,78,125,141,79,15,516,78,62,141,62,110,94,2
63,78,63,78,78,79,62,63,78,78,109,94,78,93,63,62,2
78,62,78,63,63,62,94,78,125,63,62,63,78,94,79,78,2
94,78,63,78,47,63,0,62,78,78,109,94,78,93,63,62,2
109,47,47,125,125,47,110,93,16,78,15,78,47,63,16,62,2
47,16,93,32,484,47,78,609,47,16,31,78,31,62,78,62,2
94,156,47,125,0,62,78,31,78,78,15,78,47,63,16,62,2
94,32,157,78,78,62,63,79,78,94,141,79,79,78,78,93,2
94,16,0,94,109,78,79,125,141,110,94,78,78,110,141,94,2
110,78,157,78,47,94,62,140,63,79,141,79,79,78,78,93,2
94,109,94,78,78,63,63,63,62,63,156,109,78,94,78,78,2
94,47,63,62,63,78,109,62,94,78,63,78,63,109,156,125,2
63,62,94,78,63,47,63,63,47,62,156,109,78,94,78,78,2
78,47,0,78,78,180,78,63,16,266,78,62,31,109,46,0,2
94,15,78,47,141,187,62,62,47,156,94,63,15,125,1390,141,2
47,47,0,78,0,172,94,125,94,31,78,62,31,109,46,0,2
62,79,62,109,109,125,63,94,141,110,63,94,141,0,15,32,2
78,125,78,31,110,125,94,78,78,156,94,46,63,172,0,500,2
78,31,62,109,0,94,0,78,47,63,63,94,141,0,15,32,2
