@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,4,5,7,8,9,14,16,17,18,19,22,24,25,26,27,33,34,37,38,39,40,41,42'

@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute dtsk2 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute dtsk5 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute ft8 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute sum numeric
@attribute gender {1,2}

@data
15,16,32,78,79,110,438,31,32,79,0,63,78,79,63,47,31,63,3677,1
16,125,109,187,109,157,157,94,94,93,16,94,109,63,94,203,157,171,4960,1
110,109,94,78,141,47,172,172,125,110,47,93,110,62,16,141,172,78,5704,1
110,531,125,187,109,157,94,110,140,78,0,94,109,63,94,203,157,171,5814,1
93,125,94,94,125,125,125,125,63,93,157,94,62,94,125,94,110,93,4233,1
78,125,94,94,47,109,109,171,140,94,125,47,93,78,156,47,94,453,4563,1
16,94,78,94,125,125,125,141,110,78,94,94,62,94,125,94,110,93,4142,1
63,109,63,78,125,94,94,98,109,63,109,93,63,78,78,110,46,63,3677,1
32,62,47,94,31,78,94,78,15,63,125,78,109,47,94,93,63,109,3404,1
78,63,62,78,125,94,110,78,0,63,78,93,63,78,78,110,46,63,3484,1
47,110,171,94,47,156,156,140,31,109,93,15,141,94,250,31,16,114,4112,1
16,109,63,125,0,63,110,187,109,78,94,62,110,93,125,93,93,110,3546,1
0,62,125,94,47,156,125,140,15,94,109,15,141,94,250,31,16,114,4802,1
15,78,78,78,16,141,141,125,63,78,47,47,47,63,62,140,78,16,3298,1
15,94,16,78,78,63,0,125,78,0,47,78,109,63,78,93,109,187,3000,1
31,94,110,78,16,141,187,94,63,62,0,47,47,63,62,140,78,16,4078,1
47,94,109,297,16,203,203,137,16,94,109,157,62,125,94,78,94,78,4810,1
16,78,125,93,32,78,156,137,0,94,94,110,93,79,109,63,78,109,3762,1
110,15,62,297,16,203,0,140,16,172,94,157,62,125,94,78,94,78,4143,1
78,125,109,110,109,203,203,109,47,110,93,156,78,125,109,63,110,93,5623,1
15,156,93,125,47,62,0,109,109,78,94,79,62,94,78,110,94,172,5015,1
375,79,63,110,109,203,0,125,31,110,109,156,78,125,109,63,110,93,6649,1
47,78,141,109,31,78,78,31,47,31,78,94,16,62,47,125,47,63,3281,1
156,32,47,31,156,16,531,31,79,31,47,31,94,62,94,0,109,31,3485,1
156,32,62,109,31,78,671,31,32,93,0,94,16,62,47,125,47,63,4676,1
15,109,141,110,31,125,125,125,125,203,32,125,47,93,47,141,16,63,4046,1
31,109,125,16,110,94,0,125,16,46,47,47,93,79,0,93,78,156,4154,1
62,0,47,110,31,125,657,15,78,453,78,125,47,93,47,141,16,63,6861,1
62,62,63,63,172,78,78,78,79,62,203,40,60,106,47,125,94,62,3348,1
47,62,46,79,62,63,78,47,93,63,125,47,78,31,78,109,176,13,3587,1
62,63,46,63,172,78,62,78,140,63,67,40,60,106,47,125,94,62,3553,1
78,110,109,109,79,109,109,78,234,78,156,141,62,109,140,16,203,63,3921,2
47,78,94,125,63,62,0,141,109,32,187,78,78,63,109,16,63,94,3845,2
16,78,125,109,79,109,0,94,109,109,78,141,62,109,140,16,203,63,4874,2
16,78,62,94,156,250,250,141,62,94,78,156,63,62,94,62,47,78,4562,2
31,78,110,47,47,62,0,141,125,156,125,63,62,63,79,78,62,266,3488,2
63,16,31,94,156,250,62,94,15,62,78,156,63,62,94,62,47,78,5671,2
47,172,78,94,141,250,250,47,47,62,31,63,62,78,32,141,78,16,3049,2
15,109,109,78,172,16,0,47,125,16,31,15,63,78,31,94,63,125,3707,2
93,16,62,94,141,250,906,47,203,78,875,63,62,78,32,141,78,16,8140,2
16,109,62,78,31,109,109,63,32,78,110,16,188,359,218,47,47,62,3000,2
359,94,47,62,16,47,0,94,47,16,94,62,63,94,94,15,156,16,2969,2
78,16,16,78,31,109,0,94,78,78,78,16,188,359,218,47,47,62,4467,2
437,94,78,94,31,140,140,62,16,94,110,125,63,109,62,94,94,109,4296,2
15,94,78,94,62,78,0,62,109,125,203,78,78,63,94,109,78,78,3310,2
110,16,63,94,31,140,109,78,16,78,79,125,63,109,62,94,94,109,4249,2
4369,113,69,90,63,80,80,110,36,79,96,47,78,78,69,111,78,109,8445,2
4,79,72,78,31,78,70,65,24,81,94,58,68,150,78,94,62,141,4213,2
6,79,79,90,63,80,73,103,73,31,94,47,78,78,69,111,78,109,3365,2
156,125,94,109,63,172,172,109,78,78,156,110,250,78,156,63,47,125,4252,2
15,94,78,156,16,78,0,109,94,15,109,78,78,63,110,47,94,62,3846,2
78,410,94,109,63,172,0,109,172,94,125,110,250,78,156,63,47,125,5502,2
32,125,63,93,32,187,187,78,31,78,94,16,94,78,94,78,15,78,3638,2
32,94,32,62,16,62,110,78,117,20,47,47,47,63,94,31,172,15,3279,2
78,32,78,93,32,187,109,63,15,78,47,16,94,78,94,78,15,78,3657,2
141,78,63,78,219,62,62,47,109,47,109,547,63,1015,79,125,203,62,4983,2
78,63,47,62,63,78,63,78,125,62,109,31,828,62,93,110,62,485,5531,2
109,47,78,78,219,62,47,109,219,47,94,547,63,1015,79,125,203,62,5221,2
125,109,78,125,63,109,109,125,0,94,78,63,78,109,78,93,47,78,3750,2
16,78,78,94,31,110,78,187,62,47,78,78,78,78,109,110,94,62,3373,2
0,78,94,125,63,109,93,110,31,78,93,63,78,109,78,93,47,78,5093,2
47,125,110,94,31,79,79,140,16,46,78,31,62,79,125,62,15,94,3298,2
16,62,125,78,32,78,98,124,94,31,62,63,78,93,79,93,78,0,3122,2
31,62,344,94,31,79,94,125,16,94,78,31,62,79,125,62,15,94,3749,2
31,78,79,79,15,140,140,90,0,62,93,47,63,78,94,94,0,78,2996,2
0,63,94,78,32,94,0,93,140,16,63,63,78,78,78,94,78,31,3220,2
16,78,63,79,15,140,0,125,31,78,78,47,63,78,94,94,0,78,3423,2
343,63,46,47,62,78,78,79,16,62,156,94,62,156,63,109,234,31,3952,2
0,78,47,93,47,63,125,141,62,47,125,32,125,47,62,125,63,94,3300,2
47,16,16,47,62,78,79,110,16,62,63,94,62,156,63,109,234,31,4171,2
31,141,109,94,62,172,172,100,46,63,109,78,47,62,141,62,109,94,3582,2
32,110,78,93,32,78,94,110,141,16,109,47,94,46,109,31,78,47,3159,2
109,16,94,94,62,172,78,125,15,94,94,78,47,62,141,62,109,94,5580,2
78,78,62,62,63,78,78,79,78,62,94,109,62,94,78,93,78,62,3012,2
62,79,63,63,78,63,63,62,125,47,125,62,78,63,78,94,93,78,3267,2
78,78,63,62,63,78,47,63,78,63,843,109,62,94,78,93,78,62,3780,2
47,63,31,78,47,125,125,47,16,78,16,15,78,78,47,63,110,62,3142,2
16,78,78,16,93,32,484,47,47,16,63,31,63,78,31,62,109,62,3721,2
156,0,47,78,47,125,0,62,78,94,0,15,78,78,47,63,110,62,3562,2
32,109,78,62,157,78,78,62,78,93,109,141,62,79,79,78,63,93,4392,2
16,93,62,93,0,94,109,78,141,94,93,94,78,78,78,110,78,94,3658,2
