@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R4,5,6,8,15,16,18,19,21,23,24,25,26,27,28,29,35,36,38,39,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute dtfk3 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute ft6 numeric
@attribute ft7 numeric
@attribute dtfk8 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute dtfk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
78,47,78,94,78,78,156,141,125,109,78,15,63,94,94,125,78,187,63,79,78,62,1
62,32,78,47,63,63,47,62,62,141,125,110,78,79,79,140,47,63,47,78,16,62,1
78,47,62,78,63,62,32,93,78,157,62,203,78,47,109,94,62,125,47,63,47,78,1
63,125,47,78,62,63,47,62,63,140,47,31,63,79,79,140,47,63,78,78,16,62,1
94,141,93,47,78,78,250,328,328,62,93,78,422,344,140,234,63,47,62,78,31,94,1
313,109,32,141,157,46,79,31,0,62,94,235,359,78,16,93,63,94,156,62,281,79,1
78,78,156,125,15,78,250,328,0,63,63,141,94,344,140,234,63,47,79,78,31,94,1
93,282,93,78,78,78,234,94,94,47,984,218,79,78,63,140,94,78,78,63,219,78,1
63,297,62,78,63,62,188,62,93,63,63,250,93,62,78,140,78,94,94,78,204,62,1
62,797,94,47,62,78,234,94,141,203,78,375,62,78,63,140,94,78,62,63,219,78,1
93,32,93,94,62,62,110,250,250,63,94,46,187,63,125,47,63,109,47,93,78,63,1
78,16,94,62,78,78,31,78,125,16,62,16,62,63,125,15,78,94,0,62,16,78,1
31,172,0,0,78,62,110,250,844,938,46,32,94,63,125,47,63,109,78,93,78,63,1
156,0,94,93,109,109,32,171,171,16,125,62,156,375,156,47,78,63,47,78,31,125,1
62,16,94,63,47,94,93,47,110,31,78,109,93,78,78,47,125,16,62,94,15,94,1
47,31,62,63,78,109,32,171,94,31,63,125,125,375,156,47,78,63,94,78,31,125,1
125,15,110,78,93,93,94,78,78,203,94,0,78,63,94,78,94,93,78,93,32,62,1
187,16,78,94,63,78,31,63,0,0,62,63,93,110,110,93,78,94,78,94,31,78,1
78,31,78,78,78,93,94,78,94,171,78,16,79,63,94,78,94,93,78,93,32,62,1
125,172,94,109,109,109,250,78,78,110,156,140,62,110,47,156,79,94,63,93,94,78,1
110,359,94,78,78,78,219,93,94,78,93,328,109,63,78,109,79,156,93,110,125,93,1
94,313,93,63,94,109,250,78,93,250,63,187,109,110,47,156,79,94,93,93,94,78,1
63,94,93,47,63,63,93,156,156,31,469,125,141,73,78,31,125,79,78,62,31,63,1
62,16,47,63,63,47,16,47,0,594,166,125,78,63,140,0,63,47,31,63,31,78,1
78,31,31,78,62,63,93,156,0,16,141,31,78,73,78,31,125,79,78,62,31,63,1
109,16,110,109,47,47,391,438,438,31,62,31,110,78,109,125,109,109,15,78,0,94,1
94,0,109,78,94,78,141,78,0,32,94,78,63,78,125,31,62,687,32,78,31,94,1
78,109,32,94,78,47,391,438,0,31,47,31,0,78,109,125,109,109,94,78,0,94,1
125,31,110,125,93,93,485,594,594,47,47,141,125,78,47,62,109,125,0,78,32,93,1
93,16,94,78,94,109,47,78,125,31,79,110,78,62,125,62,125,172,94,94,47,93,1
156,16,94,62,94,93,485,594,234,16,94,78,109,78,47,62,109,125,93,78,32,93,1
62,63,93,47,31,31,125,63,63,171,109,32,78,93,78,78,47,78,63,46,79,78,1
172,15,93,78,63,79,46,47,47,31,63,15,78,63,78,94,63,125,63,62,63,78,1
62,0,63,78,62,31,125,63,46,47,47,16,62,93,78,78,47,78,78,46,79,78,1
93,547,156,172,79,79,128,225,225,40,78,47,15,109,78,63,93,47,32,94,47,94,1
78,16,109,109,63,78,47,62,609,734,63,93,109,78,79,78,172,110,78,15,62,47,1
78,78,78,78,78,79,128,225,0,47,32,31,47,109,78,63,93,47,47,94,47,94,1
63,15,63,63,93,93,63,140,140,188,141,578,78,141,78,94,188,47,47,93,63,62,1
62,78,125,94,31,79,62,78,125,207,62,78,94,63,78,125,62,93,47,94,31,94,1
62,31,47,94,78,93,63,140,47,687,62,453,63,141,78,94,188,47,94,93,63,62,1
78,47,94,78,40,40,271,380,380,47,15,16,94,63,125,32,0,47,32,62,16,78,1
62,31,78,78,79,78,32,78,0,47,157,31,78,63,312,63,94,62,62,78,31,79,1
63,0,62,62,94,40,271,380,125,140,0,0,76,63,125,32,0,47,79,62,16,78,1
78,94,94,78,78,78,140,79,79,250,125,141,62,63,63,93,63,63,63,62,110,78,1
63,47,78,63,62,63,94,62,94,125,62,78,78,63,78,110,62,110,78,63,47,78,1
63,78,78,62,47,78,140,79,78,172,63,125,47,63,63,93,63,63,78,62,110,78,1
126,31,125,78,109,109,31,172,172,31,46,16,109,453,140,47,63,32,31,78,32,78,1
125,46,125,109,110,125,15,78,110,125,94,63,94,78,829,31,93,109,62,157,31,109,1
141,0,62,93,78,109,31,172,172,93,78,78,94,453,140,47,63,32,109,78,32,78,1
62,78,110,78,63,63,78,62,62,94,47,31,93,110,78,94,63,141,31,78,62,63,1
94,0,78,47,62,78,61,52,78,94,62,62,47,63,62,110,62,141,31,78,47,78,1
94,47,31,94,47,63,78,62,79,78,94,47,109,110,78,94,63,141,78,78,62,63,1
