@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,4,5,7,8,17,18,21,23,24,25,26,27,33,34,37,38,39,40,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk2 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute dtfk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtfk8 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
141,62,94,78,78,203,78,78,249,88,78,78,344,78,234,79,93,94,140,47,109,109,94,1
109,63,94,78,62,157,78,62,204,78,93,78,172,109,281,63,93,94,172,94,110,125,93,1
110,0,78,78,78,203,78,1109,63,250,32,94,203,78,234,79,93,94,140,47,109,109,94,1
156,47,140,78,78,79,110,110,15,110,31,78,16,94,63,78,79,63,47,31,63,109,78,1
15,63,46,31,15,94,31,141,0,94,79,16,78,46,31,78,63,16,78,109,31,109,16,1
63,15,32,16,78,79,110,438,125,31,93,625,32,93,63,78,79,63,47,31,63,109,78,1
156,16,109,187,187,109,157,157,156,94,109,110,94,218,94,109,63,94,203,157,171,15,94,1
125,110,94,109,78,141,47,172,0,172,63,125,125,297,93,110,62,16,141,172,78,63,93,1
250,110,125,125,187,109,157,94,156,110,94,141,140,110,94,109,63,94,203,157,171,15,94,1
125,93,94,94,94,125,125,125,78,125,94,109,63,78,94,62,94,125,94,110,93,62,79,1
141,78,94,94,94,47,109,109,32,171,94,110,140,109,47,93,78,156,47,94,453,94,94,1
109,16,78,109,94,125,125,125,47,141,47,125,110,110,94,62,94,125,94,110,93,62,79,1
78,63,63,78,78,125,94,94,219,98,78,78,109,94,93,63,78,78,110,46,63,62,94,1
109,32,47,78,94,31,78,94,187,78,78,110,15,94,78,109,47,94,93,63,109,109,63,1
78,78,62,94,78,125,94,110,234,78,15,93,0,94,93,63,78,78,110,46,63,62,94,1
93,47,171,94,94,47,156,156,32,140,172,94,31,141,15,141,94,250,31,16,114,0,109,1
94,16,63,172,125,0,63,110,78,187,94,62,109,94,62,110,93,125,93,93,110,0,125,1
250,0,125,78,94,47,156,125,79,140,16,141,15,94,15,141,94,250,31,16,114,0,109,1
125,15,78,78,78,16,141,141,62,125,78,78,63,140,47,47,63,62,140,78,16,62,156,1
78,15,16,78,78,78,63,0,15,125,63,78,78,172,78,109,63,78,93,109,187,31,78,1
78,31,110,94,78,16,141,187,0,94,94,140,63,78,47,47,63,62,140,78,16,62,156,1
93,47,109,297,297,16,203,203,15,137,78,125,16,78,157,62,125,94,78,94,78,31,110,1
172,16,125,78,93,32,78,156,16,137,125,109,0,94,110,93,79,109,63,78,109,15,78,1
62,110,62,125,297,16,203,0,47,140,32,47,16,78,157,62,125,94,78,94,78,31,110,1
94,78,109,110,110,109,203,203,78,109,78,125,47,110,156,78,125,109,63,110,93,47,78,1
500,15,93,78,125,47,62,0,15,109,125,46,109,110,79,62,94,78,110,94,172,31,94,1
93,375,63,93,110,109,203,0,47,125,78,141,31,78,156,78,125,109,63,110,93,47,78,1
156,47,141,109,109,31,78,78,32,31,47,15,47,78,94,16,62,47,125,47,63,78,16,1
78,156,47,47,31,156,16,531,625,31,62,47,79,31,31,94,62,94,0,109,31,62,0,1
78,156,62,47,109,31,78,671,193,31,15,78,32,16,94,16,62,47,125,47,63,78,16,1
110,15,141,110,110,31,125,125,31,125,125,63,125,203,125,47,93,47,141,16,63,93,47,1
47,31,125,125,16,110,94,0,0,125,93,0,16,16,47,93,79,0,93,78,156,63,93,1
32,62,47,16,110,31,125,657,720,15,63,250,78,94,125,47,93,47,141,16,63,93,47,1
94,62,63,63,63,172,78,78,31,78,62,78,79,63,40,60,106,47,125,94,62,79,62,1
78,47,46,62,79,62,63,78,250,47,106,94,93,78,47,78,31,78,109,176,13,141,62,1
63,62,46,94,63,172,78,62,188,78,27,78,140,74,40,60,106,47,125,94,62,79,62,1
78,78,109,109,109,79,109,109,31,78,63,47,234,110,141,62,109,140,16,203,63,16,62,2
78,47,94,63,125,63,62,0,31,141,109,94,109,78,78,78,63,109,16,63,94,16,78,2
78,16,125,62,109,79,109,0,16,94,93,125,109,63,141,62,109,140,16,203,63,16,62,2
375,16,62,94,94,156,250,250,31,141,47,109,62,109,156,63,62,94,62,47,78,47,110,2
94,31,110,47,47,47,62,0,32,141,62,47,125,78,63,62,63,79,78,62,266,31,78,2
171,63,31,125,94,156,250,62,94,94,32,63,15,109,156,63,62,94,62,47,78,47,110,2
109,47,78,94,94,141,250,250,47,47,94,62,47,47,63,62,78,32,141,78,16,31,78,2
63,15,109,94,78,172,16,0,47,47,78,47,125,94,15,63,78,31,94,63,125,31,110,2
32,93,62,78,94,141,250,906,1000,47,78,94,203,91,63,62,78,32,141,78,16,31,78,2
62,16,62,78,78,31,109,109,31,63,32,62,32,62,16,188,359,218,47,47,62,46,63,2
47,359,47,32,62,16,47,0,15,94,359,31,47,62,62,63,94,94,15,156,16,47,47,2
63,78,16,79,78,31,109,0,31,94,59,125,78,62,16,188,359,218,47,47,62,46,63,2
172,437,78,94,94,31,140,140,31,62,94,93,16,94,125,63,109,62,94,94,109,78,62,2
219,15,78,94,94,62,78,0,16,62,109,31,109,94,78,78,63,94,109,78,78,63,78,2
140,110,63,78,94,31,140,109,16,78,63,109,16,62,125,63,109,62,94,94,109,78,62,2
57,4369,69,90,90,63,80,80,442,110,65,89,36,79,47,78,78,69,111,78,109,69,61,2
192,4,72,65,78,31,78,70,411,65,78,89,24,94,58,68,150,78,94,62,141,63,78,2
74,6,79,104,90,63,80,73,185,103,109,11,73,47,47,78,78,69,111,78,109,69,61,2
110,156,94,109,109,63,172,172,47,109,63,79,78,109,110,250,78,156,63,47,125,78,125,2
