@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R4,5,7,8,11,17,18,21,23,24,25,26,27,28,33,36,38,39'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute dtsk2 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute dtfk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtfk8 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtfk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute sum numeric
@attribute gender {1,2}

@data
125,15,110,78,93,93,78,78,203,63,63,141,0,78,109,63,94,78,93,16,78,93,32,62,3703,1
187,16,78,63,63,78,63,0,0,94,63,94,63,93,328,110,110,93,94,93,78,94,31,78,3610,1
78,31,78,62,78,93,78,94,171,63,15,109,16,79,109,63,94,78,93,16,78,93,32,62,3280,1
125,172,94,109,109,109,78,78,110,78,78,125,140,62,78,110,47,156,94,265,63,93,94,78,4923,1
110,359,94,78,78,78,93,94,78,78,110,62,328,109,94,63,78,109,156,94,93,110,125,93,5672,1
94,313,93,78,94,109,78,93,250,94,78,94,187,109,78,110,47,156,94,265,93,93,94,78,4811,1
63,94,93,47,63,63,156,156,31,63,63,78,125,141,56,73,78,31,79,15,78,62,31,63,3755,1
62,16,47,47,63,47,47,0,594,656,73,62,125,78,78,63,140,0,47,110,31,63,31,78,3739,1
78,31,31,63,62,63,156,0,16,94,62,94,31,78,56,73,78,31,79,15,78,62,31,63,5098,1
109,16,110,109,47,47,438,438,31,46,94,78,31,110,31,78,109,125,109,16,15,78,0,94,4172,1
94,0,109,110,94,78,78,0,32,46,78,31,78,63,62,78,125,31,687,94,32,78,31,94,3593,1
78,109,32,93,78,47,438,0,31,94,78,110,31,0,31,78,109,125,109,16,94,78,0,94,5717,1
125,31,110,125,93,93,594,594,47,140,94,78,141,125,78,78,47,62,125,16,0,78,32,93,4935,1
93,16,94,125,94,109,78,125,31,141,78,32,110,78,94,62,125,62,172,78,94,94,47,93,3515,1
156,16,94,63,94,93,594,234,16,109,94,125,78,109,78,78,47,62,125,16,93,78,32,93,6516,1
62,63,93,47,31,31,63,63,171,79,63,62,32,78,47,93,78,78,78,172,63,46,79,78,3344,1
172,15,93,47,63,79,47,47,31,94,93,78,15,78,78,63,78,94,125,62,63,62,63,78,3125,1
62,0,63,63,62,31,63,46,47,94,94,62,16,62,47,93,78,78,78,172,78,46,79,78,2983,1
93,547,156,172,79,79,225,225,40,110,63,63,47,15,62,109,78,63,47,15,32,94,47,94,4488,1
78,16,109,109,63,78,62,609,734,0,109,79,93,109,78,78,79,78,110,94,78,15,62,47,4343,1
78,78,78,47,78,79,225,0,47,141,93,94,31,47,62,109,78,63,47,15,47,94,47,94,4134,1
63,15,63,63,93,93,140,140,188,109,31,63,578,78,94,141,78,94,47,78,47,93,63,62,3999,1
62,78,125,63,31,79,78,125,207,109,141,94,78,94,78,63,78,125,93,110,47,94,31,94,3941,1
62,31,47,63,78,93,140,47,687,94,78,125,453,63,94,141,78,94,47,78,94,93,63,62,5077,1
78,47,94,78,40,40,380,380,47,125,79,47,16,94,62,63,125,32,47,15,32,62,16,78,3507,1
62,31,78,0,79,78,78,0,47,125,63,62,31,78,62,63,312,63,62,94,62,78,31,79,3018,1
63,0,62,78,94,40,380,125,140,94,63,62,0,76,62,63,125,32,47,15,79,62,16,78,5659,1
78,94,94,78,78,78,79,79,250,93,62,47,141,62,47,63,63,93,63,125,63,62,110,78,4205,1
63,47,78,63,62,63,62,94,125,125,63,78,78,78,78,63,78,110,110,62,78,63,47,78,3438,1
63,78,78,47,47,78,79,78,172,125,62,63,125,47,47,63,63,93,63,125,78,62,110,78,3585,1
126,31,125,78,109,109,172,172,31,156,110,94,16,109,93,453,140,47,32,46,31,78,32,78,3983,1
125,46,125,16,110,125,78,110,125,156,453,31,63,94,110,78,829,31,109,78,62,157,31,109,4546,1
141,0,62,110,78,109,172,172,93,157,31,94,78,94,93,453,140,47,32,46,109,78,32,78,5156,1
62,78,110,78,63,63,62,62,94,94,62,78,31,93,62,110,78,94,141,0,31,78,62,63,3438,1
