@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,3,4,5,6,8,9,11,15,16,18,19,23,24,25,26,27,37,39,41,43'

@attribute ft1 numeric
@attribute dtfk3 numeric
@attribute dtfk4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute ft6 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute ft13 numeric
@attribute dtfk14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
16,93,94,125,125,47,140,110,78,110,94,62,94,125,94,78,109,110,93,78,109,79,1
63,63,78,94,94,219,94,109,63,94,93,63,78,78,110,46,94,46,63,94,110,94,1
32,62,94,78,94,187,62,15,63,94,78,109,47,94,93,78,125,63,109,16,78,63,1
78,63,78,94,110,234,109,0,63,94,93,63,78,78,110,46,94,46,63,31,110,94,1
47,171,94,156,156,32,15,31,109,141,15,141,94,250,31,125,125,16,114,109,125,109,1
16,110,125,63,110,78,109,109,78,94,62,110,93,125,93,94,110,93,110,140,78,125,1
0,109,94,156,125,79,125,15,94,94,15,141,94,250,31,125,125,16,114,0,125,109,1
15,78,78,141,141,62,79,63,78,140,47,47,63,62,140,63,109,78,16,110,110,156,1
15,125,78,63,0,15,62,78,0,172,78,109,63,78,93,32,31,109,187,15,94,78,1
31,78,78,141,187,0,0,63,62,78,47,47,63,62,140,63,109,78,16,141,110,156,1
47,109,297,203,203,15,63,16,94,78,157,62,125,94,78,109,141,94,78,109,109,110,1
16,94,93,78,156,16,78,0,94,94,110,93,79,109,63,141,375,78,109,78,78,78,1
110,94,297,203,0,47,125,16,172,78,157,62,125,94,78,109,141,94,78,15,109,110,1
78,109,110,203,203,78,390,47,110,110,156,78,125,109,63,78,109,110,93,94,94,78,1
15,109,125,62,0,15,63,109,78,110,79,62,94,78,110,109,94,94,172,78,78,94,1
375,110,110,203,0,47,78,31,110,78,156,78,125,109,63,78,109,110,93,484,94,78,1
47,141,109,78,78,32,62,47,31,78,94,16,62,47,125,47,62,47,63,78,0,16,1
156,47,31,16,531,625,79,79,31,31,31,94,62,94,0,62,47,109,31,78,31,0,1
156,31,109,78,671,193,109,32,93,16,94,16,62,47,125,47,62,47,63,79,0,16,1
15,141,110,125,125,31,31,125,203,203,125,47,93,47,141,31,31,16,63,109,15,47,1
