ft1,dtfk2,dtfk3,ft4,dtsk4,dtfk7,ft7,ft9,dtfk10,ft10,dtfk11,ft11,ft12,ft13,dtfk14,ft14,dtsk14,gender
297,47,78,188,62,78,250,62,62,94,78,140,62,484,78,204,62,1
797,78,47,234,94,78,375,141,78,78,63,140,828,375,63,219,78,1
32,93,94,110,250,125,46,204,78,78,125,47,32,78,93,78,63,1
16,94,62,31,78,78,16,266,63,93,125,15,93,78,62,16,78,1
172,172,0,110,250,109,32,1203,78,78,125,47,32,63,93,78,63,1
0,94,93,32,171,63,62,109,31,47,156,47,16,78,78,31,125,1
16,47,63,93,47,94,109,94,63,78,78,47,109,16,94,15,94,1
31,109,63,32,171,62,125,94,31,47,156,47,16,62,78,31,125,1
15,110,78,94,78,141,0,0,141,109,94,78,16,78,93,32,62,1
16,93,94,31,63,94,63,125,234,328,110,93,93,32,94,31,78,1
31,63,78,94,78,109,16,93,141,109,94,78,16,16,93,32,62,1
172,94,109,250,78,125,140,172,94,78,47,156,265,422,93,94,78,1
359,79,78,219,93,62,328,94,93,94,78,109,94,547,110,125,93,1
313,94,63,250,78,94,187,188,94,78,47,156,265,203,93,94,78,1
94,93,47,93,156,78,125,63,78,56,78,31,15,78,62,31,63,1
16,63,63,16,47,62,125,109,62,78,140,0,110,47,63,31,78,1
31,47,78,93,156,94,31,891,78,56,78,31,15,172,62,31,63,1
16,110,109,391,438,78,31,32,94,31,109,125,16,78,78,0,94,1
0,93,78,141,78,31,78,125,63,62,125,31,94,110,78,31,94,1
109,203,94,391,438,110,31,844,94,31,109,125,16,62,78,0,94,1
31,110,125,485,594,78,141,16,47,78,47,62,16,125,78,32,93,1
16,125,78,47,78,32,110,0,62,94,125,62,78,15,94,47,93,1
16,188,62,485,594,125,78,1078,47,78,47,62,16,125,78,32,93,1
63,93,47,125,63,62,32,156,63,47,78,78,172,78,46,79,78,1
15,94,78,46,47,78,15,63,62,78,78,94,62,125,62,63,78,1
0,78,78,125,63,62,16,141,63,47,78,78,172,62,46,79,78,1
547,156,172,128,225,63,47,93,47,62,78,63,15,93,94,47,94,1
16,109,109,47,62,79,93,94,78,78,79,78,94,0,15,62,47,1
78,15,78,128,225,94,31,78,47,62,78,63,15,78,94,47,94,1
15,63,63,63,140,63,578,109,47,94,78,94,78,109,93,63,62,1
78,79,94,62,78,94,78,63,47,78,78,125,110,438,94,31,94,1
31,63,94,63,140,125,453,125,47,94,78,94,78,47,93,63,62,1
47,94,78,271,380,47,16,78,47,62,125,32,15,94,62,16,78,1
31,31,78,32,78,62,31,31,63,62,312,63,94,32,78,31,79,1
