ft1,dtfk3,dtsk4,ft10,dtsk10,dtfk12,dtsk12,ft13,ft14,dtsk14,gender
156,78,125,78,78,16,62,93,0,31,2
32,78,78,62,79,78,93,15,31,79,2
16,78,94,78,78,141,94,47,94,94,2
78,93,78,62,79,78,93,156,31,79,2
109,63,78,63,109,78,78,78,78,63,2
47,78,62,78,78,156,125,78,62,47,2
62,47,78,63,109,78,78,47,78,63,2
47,125,78,94,62,46,0,94,31,63,2
15,125,47,62,63,1390,141,94,0,63,2
47,78,78,94,62,46,0,31,31,63,2
79,94,109,78,94,15,32,78,32,93,2
125,94,31,94,46,0,500,78,93,78,2
31,31,109,78,94,15,32,94,32,93,2
