ft1,ft4,dtsk4,dtsk6,dtfk7,ft7,dtfk10,ft10,dtsk10,ft11,dtfk12,ft12,dtfk13,ft13,dtfk14,ft14,dtsk14,gender
78,78,62,94,78,31,32,62,110,94,141,0,31,79,78,62,63,1
0,61,52,141,63,62,78,78,63,110,141,94,31,31,78,47,78,1
47,78,62,31,94,47,32,62,110,94,141,0,78,47,78,62,63,1
16,188,78,156,110,31,78,63,62,110,93,125,125,125,78,32,125,1
16,0,78,313,156,31,78,47,63,94,125,94,125,0,62,235,125,1
31,188,78,78,156,16,78,63,62,110,93,125,125,31,78,32,125,1
16,109,203,47,31,63,16,62,94,31,31,31,156,110,78,16,62,1
78,94,0,63,0,62,78,78,78,47,78,156,31,125,63,31,94,1
79,109,203,47,125,719,16,62,94,31,31,31,94,0,78,16,62,1
62,203,78,109,78,344,234,79,93,140,78,47,78,391,78,109,94,1
63,157,78,172,78,172,281,63,93,172,213,94,78,516,94,125,93,1
0,203,78,157,94,203,234,79,93,140,78,47,93,235,78,109,94,1
47,79,110,15,78,16,63,78,79,47,63,31,48,5,46,109,78,1
63,94,31,31,16,78,31,78,63,78,31,109,16,94,16,109,16,1
15,79,110,47,625,32,63,78,79,47,63,31,16,110,46,109,78,1
16,109,157,125,110,94,94,109,63,203,47,157,110,93,141,15,94,1
110,141,47,500,125,125,93,110,62,141,47,172,531,140,125,63,93,1
110,109,157,125,141,140,94,109,63,203,47,157,93,110,141,15,94,1
93,125,125,141,109,63,94,62,94,94,109,110,94,47,109,62,79,1
78,47,109,140,110,140,47,93,78,47,187,94,94,31,109,94,94,1
16,125,125,94,125,110,94,62,94,94,109,110,94,78,109,62,79,1
63,125,94,109,78,109,93,63,78,110,94,46,63,94,110,62,94,1
32,31,78,125,110,15,78,109,47,93,125,63,63,16,78,109,63,1
78,125,94,63,93,0,93,63,78,110,94,46,63,31,110,62,94,1
47,47,156,94,94,31,15,141,94,31,125,16,78,109,125,0,109,1
16,0,63,47,62,109,62,110,93,93,110,93,62,140,78,0,125,1
0,47,156,0,141,15,15,141,94,31,125,16,125,0,125,0,109,1
15,16,141,78,78,63,47,47,63,140,109,78,0,110,110,62,156,1
15,78,63,110,78,78,78,109,63,93,31,109,94,15,94,31,78,1
31,16,141,47,140,63,47,47,63,140,109,78,78,141,110,62,156,1
47,16,203,172,125,16,157,62,125,78,141,94,94,109,109,31,110,1
16,32,78,94,109,0,110,93,79,63,375,78,15,78,78,15,78,1
110,16,203,16,47,16,157,62,125,78,141,94,78,15,109,31,110,1
78,109,203,500,125,47,156,78,125,63,109,110,78,94,94,47,78,1
15,47,62,609,46,109,79,62,94,110,94,94,79,78,78,31,94,1
375,109,203,141,141,31,156,78,125,63,109,110,94,484,94,47,78,1
47,31,78,78,15,47,94,16,62,125,62,47,31,78,0,78,16,1
156,156,16,172,47,79,31,94,62,0,47,109,32,78,31,62,0,1
156,31,78,0,78,32,94,16,62,125,62,47,0,79,0,78,16,1
15,31,125,47,63,125,125,47,93,141,31,16,46,109,15,93,47,1
31,110,94,78,0,16,47,93,79,93,1000,78,0,94,0,63,93,1
62,31,125,125,250,78,125,47,93,141,31,16,93,63,15,93,47,1
62,172,78,78,78,79,40,60,106,125,63,94,63,94,78,79,62,1
47,62,63,91,94,93,47,78,31,109,101,176,63,78,62,141,62,1
62,172,78,115,78,140,40,60,106,125,63,94,62,141,78,79,62,1
78,79,109,78,47,234,141,62,109,16,109,203,32,78,63,16,62,2
47,63,62,203,94,109,78,78,63,16,125,63,78,265,78,16,78,2
16,79,109,62,125,109,141,62,109,16,109,203,78,219,63,16,62,2
16,156,250,94,109,62,156,63,62,62,109,47,156,63,93,47,110,2
31,47,62,16,47,125,63,62,63,78,94,62,16,78,110,31,78,2
63,156,250,172,63,15,156,63,62,62,109,47,78,110,93,47,110,2
47,141,250,63,62,47,63,62,78,141,16,78,16,78,63,31,78,2
15,172,16,47,47,125,15,63,78,94,968,63,16,78,63,31,110,2
93,141,250,141,94,203,63,62,78,141,16,78,110,15,63,31,78,2
16,31,109,47,62,32,16,188,359,47,16,47,16,78,47,46,63,2
359,16,47,47,31,47,62,63,94,15,94,156,16,78,63,47,47,2
