ft1,dtfk2,dtfk3,dtsk3,dtfk4,ft4,dtfk5,dtfk7,dtfk9,ft10,dtfk11,ft11,ft12,ft13,ft14,gender
4,68,98,65,78,31,70,89,172,68,78,94,62,13,63,2
6,39,79,104,90,63,73,11,74,78,69,111,78,15,69,2
156,125,94,109,109,63,172,79,78,250,156,63,47,63,78,2
15,78,78,63,156,16,0,109,141,78,110,47,94,94,172,2
78,110,78,78,109,63,0,93,828,250,156,63,47,266,78,2
32,125,63,93,93,32,187,63,562,94,94,78,15,88,16,2
32,47,94,93,62,16,110,47,94,47,94,31,172,32,46,2
78,125,78,93,93,32,109,63,719,94,94,78,15,15,16,2
141,78,63,78,78,219,62,63,78,63,79,125,203,188,47,2
78,62,47,46,62,63,63,79,125,828,93,110,62,172,62,2
109,47,47,62,78,219,47,94,79,63,79,125,203,125,47,2
125,109,78,125,125,63,109,94,109,78,78,93,47,78,31,2
16,156,78,78,94,31,78,16,63,78,109,110,94,78,31,2
0,94,94,94,125,63,93,94,843,78,78,93,47,31,31,2
47,125,110,94,94,31,79,78,172,62,125,62,15,78,16,2
16,125,62,47,78,32,98,62,62,78,79,93,78,32,32,2
31,31,46,62,94,31,94,78,609,62,125,62,15,32,16,2
31,78,79,79,79,15,140,109,94,63,94,94,0,78,16,2
0,16,62,78,78,32,0,31,31,78,78,94,78,15,16,2
16,78,62,78,79,15,0,62,781,63,94,94,0,15,16,2
343,63,46,47,47,62,78,62,62,62,63,109,234,78,31,2
0,125,47,47,93,47,125,110,156,125,62,125,63,78,47,2
47,63,62,47,47,62,79,62,922,62,63,109,234,47,31,2
31,141,109,94,94,62,172,94,94,47,141,62,109,93,47,2
32,172,94,78,93,32,94,16,78,94,109,31,78,78,62,2
109,250,63,94,94,62,78,79,828,47,141,62,109,46,47,2
78,78,62,62,62,63,78,63,62,62,78,93,78,31,47,2
62,47,62,62,63,78,63,78,94,78,78,94,93,47,62,2
78,47,62,78,62,63,47,62,62,62,78,93,78,31,47,2
47,63,31,78,78,47,125,93,594,78,47,63,110,47,0,2
16,31,78,110,16,93,484,609,110,63,31,62,109,94,94,2
156,32,78,110,78,47,0,31,0,78,47,63,110,93,0,2
32,109,78,62,62,157,78,79,125,62,79,78,63,15,31,2
16,78,78,63,93,0,109,125,15,78,78,110,78,47,94,2
78,93,93,78,62,157,47,140,0,62,79,78,63,156,31,2
109,62,63,63,63,94,78,63,93,63,78,94,188,78,78,2
47,78,78,63,62,63,63,62,110,78,63,109,62,78,62,2
62,78,47,63,63,94,63,63,110,63,78,94,188,47,78,2
47,157,125,156,156,0,78,63,0,94,31,109,93,94,31,2
15,110,125,78,15,78,141,62,110,62,15,125,63,94,0,2
47,16,78,94,156,0,0,125,984,94,31,109,93,31,31,2
79,109,94,78,78,62,109,94,94,78,141,0,93,78,32,2
125,0,94,63,47,78,110,78,120,94,63,172,125,78,93,2
31,97,31,156,78,62,0,78,735,78,141,0,93,94,32,2
