dtfk1,ft1,dtfk2,dtfk3,dtsk3,dtfk4,ft4,dtfk5,dtsk5,dtsk6,dtfk7,ft7,dtfk9,dtfk10,ft10,dtfk11,ft11,ft12,ft13,dtsk13,ft14,sum,gender
94,62,62,63,63,63,172,78,78,78,78,79,109,40,60,47,125,94,94,62,79,3348,1
78,47,47,63,62,79,62,78,47,91,94,93,115,47,78,78,109,176,78,62,141,3587,1
63,62,62,62,94,63,172,62,78,115,78,140,62,40,60,47,125,94,141,235,79,3553,1
78,78,110,109,109,109,79,109,78,78,47,234,0,141,62,140,16,203,78,109,16,3921,2
78,47,94,93,63,125,63,0,141,203,94,109,62,78,78,109,16,63,265,110,16,3845,2
78,16,328,78,62,109,79,0,94,62,125,109,813,141,62,140,16,203,219,78,16,4874,2
375,16,78,62,94,94,156,250,141,94,109,62,93,156,63,94,62,47,63,109,47,4562,2
94,31,219,63,47,47,47,0,141,16,47,125,172,63,62,79,78,62,78,31,31,3488,2
171,63,218,94,125,94,156,62,94,172,63,15,953,156,63,94,62,47,110,172,47,5671,2
109,47,172,78,94,94,141,250,47,63,62,47,0,63,62,32,141,78,78,47,31,3049,2
63,15,110,94,94,78,172,0,47,47,47,125,141,15,63,31,94,63,78,16,31,3707,2
32,93,110,62,78,94,141,906,47,141,94,203,735,63,62,32,141,78,15,93,31,8140,2
62,16,109,62,78,78,31,109,63,47,62,32,0,16,188,218,47,47,78,16,46,3000,2
47,359,63,63,32,62,16,0,94,47,31,47,79,62,63,94,15,156,78,15,47,2969,2
63,78,110,78,79,78,31,0,94,79,125,78,703,16,188,218,47,47,15,94,46,4467,2
172,437,94,78,94,94,31,140,62,219,93,16,94,125,63,62,94,94,78,94,78,4296,2
219,15,125,94,94,94,62,0,62,110,31,109,94,78,78,94,109,78,78,46,63,3310,2
140,110,219,94,78,94,31,109,78,94,109,16,937,125,63,62,94,94,94,78,78,4249,2
57,4369,113,69,90,90,63,80,110,192,89,36,78,47,78,69,111,78,37,78,69,8445,2
192,4,68,98,65,78,31,70,65,187,89,24,172,58,68,78,94,62,13,85,63,4213,2
74,6,39,79,104,90,63,73,103,172,11,73,74,47,78,69,111,78,15,94,69,3365,2
110,156,125,94,109,109,63,172,109,94,79,78,78,110,250,156,63,47,63,78,78,4252,2
94,15,78,78,63,156,16,0,109,62,109,94,141,78,78,110,47,94,94,62,172,3846,2
187,78,110,78,78,109,63,0,109,141,93,172,828,110,250,156,63,47,266,109,78,5502,2
93,32,125,63,93,93,32,187,78,125,63,31,562,16,94,94,78,15,88,78,16,3638,2
125,32,47,94,93,62,16,110,78,78,47,117,94,47,47,94,31,172,32,421,46,3279,2
78,78,125,78,93,93,32,109,63,94,63,15,719,16,94,94,78,15,15,125,16,3657,2
62,141,78,63,78,78,219,62,47,62,63,109,78,547,63,79,125,203,188,46,47,4983,2
62,78,62,47,46,62,63,63,78,125,79,125,125,31,828,93,110,62,172,63,62,5531,2
31,109,47,47,62,78,219,47,109,125,94,219,79,547,63,79,125,203,125,78,47,5221,2
109,125,109,78,125,125,63,109,125,94,94,0,109,63,78,78,93,47,78,63,31,3750,2
94,16,156,78,78,94,31,78,187,46,16,62,63,78,78,109,110,94,78,94,31,3373,2
125,0,94,94,94,125,63,93,110,63,94,31,843,63,78,78,93,47,31,141,31,5093,2
93,47,125,110,94,94,31,79,140,94,78,16,172,31,62,125,62,15,78,16,16,3298,2
94,16,125,62,47,78,32,98,124,125,62,94,62,63,78,79,93,78,32,93,32,3122,2
79,31,31,46,62,94,31,94,125,62,78,16,609,31,62,125,62,15,32,78,16,3749,2
94,31,78,79,79,79,15,140,90,94,109,0,94,47,63,94,94,0,78,0,16,2996,2
94,0,16,62,78,78,32,0,93,31,31,140,31,63,78,78,94,78,15,79,16,3220,2
62,16,78,62,78,79,15,0,125,31,62,31,781,47,63,94,94,0,15,110,16,3423,2
