dtfk2,dtsk3,ft4,dtfk7,dtsk7,dtfk9,dtfk10,ft10,dtfk11,ft11,dtfk13,ft13,dtsk13,dtfk14,ft14,gender
47,78,79,78,110,469,63,78,63,47,48,5,84,46,109,1
31,31,94,16,48,47,31,78,16,78,16,94,0,16,109,1
235,16,79,625,79,0,63,78,63,47,16,110,15,46,109,1
125,187,109,110,93,125,94,109,94,203,110,93,161,141,15,1
156,109,141,125,110,125,93,110,16,141,531,140,516,125,63,1
312,125,109,141,78,750,94,109,94,203,93,110,109,141,15,1
125,94,125,109,93,94,94,62,125,94,94,47,109,109,62,1
125,94,47,110,94,94,47,93,156,47,94,31,125,109,94,1
156,109,125,125,78,125,94,62,125,94,94,78,141,109,62,1
109,78,125,78,63,78,93,63,78,110,63,94,78,110,62,1
78,78,31,110,63,63,78,109,94,93,63,16,93,78,109,1
109,94,125,93,63,93,93,63,78,110,63,31,94,110,62,1
110,94,47,94,109,110,15,141,250,31,78,109,16,125,0,1
0,172,0,62,78,0,62,110,125,93,62,140,16,78,0,1
312,78,47,141,94,860,15,141,250,31,125,0,109,125,0,1
78,78,16,78,78,109,47,47,62,140,0,110,15,110,62,1
32,78,78,78,0,47,78,109,78,93,94,15,94,94,31,1
79,94,16,140,62,937,47,47,62,140,78,141,78,110,62,1
94,297,16,125,94,94,157,62,94,78,94,109,125,109,31,1
219,78,32,109,94,16,110,93,109,63,15,78,0,78,15,1
63,125,16,47,172,110,157,62,94,78,78,15,141,109,31,1
125,110,109,125,110,94,156,78,109,63,78,94,78,94,47,1
141,78,47,46,78,141,79,62,78,110,79,78,78,78,31,1
94,93,109,141,110,1020,156,78,109,63,94,484,203,94,47,1
78,109,31,15,31,687,94,16,47,125,31,78,0,0,78,1
15,47,156,47,31,0,31,94,94,0,32,78,31,31,62,1
62,47,31,78,93,797,94,16,47,125,0,79,78,0,78,1
109,110,31,63,203,610,125,47,47,141,46,109,16,15,93,1
62,125,110,0,46,125,47,93,0,93,0,94,15,0,63,1
15,16,31,250,453,656,125,47,47,141,93,63,219,15,93,1
62,63,172,78,62,109,40,60,47,125,63,94,62,78,79,1
47,62,62,94,63,115,47,78,78,109,63,78,62,62,141,1
62,94,172,78,63,62,40,60,47,125,62,141,235,78,79,1
110,109,79,47,78,0,141,62,140,16,32,78,109,63,16,2
94,63,63,94,32,62,78,78,109,16,78,265,110,78,16,2
328,62,79,125,109,813,141,62,140,16,78,219,78,63,16,2
78,94,156,109,94,93,156,63,94,62,156,63,109,93,47,2
219,47,47,47,156,172,63,62,79,78,16,78,31,110,31,2
218,125,156,63,62,953,156,63,94,62,78,110,172,93,47,2
172,94,141,62,62,0,63,62,32,141,16,78,47,63,31,2
110,94,172,47,16,141,15,63,31,94,16,78,16,63,31,2
110,78,141,94,78,735,63,62,32,141,110,15,93,63,31,2
109,78,31,62,78,0,16,188,218,47,16,78,16,47,46,2
63,32,16,31,16,79,62,63,94,15,16,78,15,63,47,2
110,79,31,125,78,703,16,188,218,47,47,15,94,47,46,2
94,94,31,93,94,94,125,63,62,94,125,78,94,78,78,2
125,94,62,31,125,94,78,78,94,109,16,78,46,78,63,2
219,78,31,109,78,937,125,63,62,94,78,94,78,78,78,2
113,90,63,89,79,78,47,78,69,111,81,37,78,33,69,2
