dtfk1,ft1,dtfk3,dtsk3,dtfk4,ft4,dtfk5,dtsk6,dtfk7,dtfk9,dtfk10,ft10,dtfk11,ft11,ft12,ft13,dtsk13,ft14,gender
47,78,31,31,344,94,1469,63,0,47,78,78,0,47,156,125,15,31,1
16,79,31,62,47,109,141,47,125,859,16,62,157,31,31,0,62,16,1
141,62,94,78,78,203,78,109,78,94,234,79,94,140,47,391,109,109,1
109,63,109,78,62,157,62,172,78,157,281,63,94,172,94,516,78,125,1
110,0,407,78,78,203,1109,157,94,63,234,79,94,140,47,235,78,109,1
156,47,140,78,78,79,110,15,78,469,63,78,63,47,31,5,84,109,1
15,63,93,31,15,94,141,31,16,47,31,78,16,78,109,94,0,109,1
63,15,110,16,78,79,438,47,625,0,63,78,63,47,31,110,15,109,1
156,16,109,187,187,109,157,125,110,125,94,109,94,203,157,93,161,15,1
125,110,94,109,78,141,172,500,125,125,93,110,16,141,172,140,516,63,1
250,110,93,125,187,109,94,125,141,750,94,109,94,203,157,110,109,15,1
125,93,94,94,94,125,125,141,109,94,94,62,125,94,110,47,109,62,1
141,78,94,94,94,47,109,140,110,94,47,93,156,47,94,31,125,94,1
109,16,93,109,94,125,125,94,125,125,94,62,125,94,110,78,141,62,1
78,63,63,78,78,125,94,109,78,78,93,63,78,110,46,94,78,62,1
109,32,62,78,94,31,94,125,110,63,78,109,94,93,63,16,93,109,1
78,78,63,94,78,125,110,63,93,93,93,63,78,110,46,31,94,62,1
93,47,171,94,94,47,156,94,94,110,15,141,250,31,16,109,16,0,1
94,16,110,172,125,0,110,47,62,0,62,110,125,93,93,140,16,0,1
250,0,109,78,94,47,125,0,141,860,15,141,250,31,16,0,109,0,1
125,15,78,78,78,16,141,78,78,109,47,47,62,140,78,110,15,62,1
78,15,125,78,78,78,0,110,78,47,78,109,78,93,109,15,94,31,1
78,31,78,94,78,16,187,47,140,937,47,47,62,140,78,141,78,62,1
93,47,109,297,297,16,203,172,125,94,157,62,94,78,94,109,125,31,1
172,16,94,78,93,32,156,94,109,16,110,93,109,63,78,78,0,15,1
62,110,94,125,297,16,0,16,47,110,157,62,94,78,94,15,141,31,1
94,78,109,110,110,109,203,500,125,94,156,78,109,63,110,94,78,47,1
500,15,109,78,125,47,0,609,46,141,79,62,78,110,94,78,78,31,1
93,375,110,93,110,109,0,141,141,1020,156,78,109,63,110,484,203,47,1
156,47,141,109,109,31,78,78,15,687,94,16,47,125,47,78,0,78,1
78,156,47,47,31,156,531,172,47,0,31,94,94,0,109,78,31,62,1
78,156,31,47,109,31,671,0,78,797,94,16,47,125,47,79,78,78,1
110,15,141,110,110,31,125,47,63,610,125,47,47,141,16,109,16,93,1
47,31,94,125,16,110,0,78,0,125,47,93,0,93,78,94,15,63,1
32,62,203,16,110,31,657,125,250,656,125,47,47,141,16,63,219,93,1
94,62,63,63,63,172,78,78,78,109,40,60,47,125,94,94,62,79,1
78,47,63,62,79,62,78,91,94,115,47,78,78,109,176,78,62,141,1
63,62,62,94,63,172,62,115,78,62,40,60,47,125,94,141,235,79,1
78,78,109,109,109,79,109,78,47,0,141,62,140,16,203,78,109,16,2
78,47,93,63,125,63,0,203,94,62,78,78,109,16,63,265,110,16,2
78,16,78,62,109,79,0,62,125,813,141,62,140,16,203,219,78,16,2
375,16,62,94,94,156,250,94,109,93,156,63,94,62,47,63,109,47,2
94,31,63,47,47,47,0,16,47,172,63,62,79,78,62,78,31,31,2
171,63,94,125,94,156,62,172,63,953,156,63,94,62,47,110,172,47,2
109,47,78,94,94,141,250,63,62,0,63,62,32,141,78,78,47,31,2
63,15,94,94,78,172,0,47,47,141,15,63,31,94,63,78,16,31,2
32,93,62,78,94,141,906,141,94,735,63,62,32,141,78,15,93,31,2
62,16,62,78,78,31,109,47,62,0,16,188,218,47,47,78,16,46,2
47,359,63,32,62,16,0,47,31,79,62,63,94,15,156,78,15,47,2
63,78,78,79,78,31,0,79,125,703,16,188,218,47,47,15,94,46,2
172,437,78,94,94,31,140,219,93,94,125,63,62,94,94,78,94,78,2
219,15,94,94,94,62,0,110,31,94,78,78,94,109,78,78,46,63,2
