@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,6,7,8,9,13,14,16,17,18,19,24,25,26,27,33,34,37,38,39,40,41,42'

@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtsk5 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute ft8 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute sum numeric
@attribute gender {1,2}

@data
109,31,78,31,47,31,78,78,94,16,62,47,125,47,63,3281,1
31,156,16,31,79,31,31,47,31,94,62,94,0,109,31,3485,1
109,31,78,31,32,93,16,0,94,16,62,47,125,47,63,4676,1
110,31,125,125,125,203,203,32,125,47,93,47,141,16,63,4046,1
16,110,94,125,16,46,16,47,47,93,79,0,93,78,156,4154,1
110,31,125,15,78,453,94,78,125,47,93,47,141,16,63,6861,1
63,172,78,78,79,62,63,203,40,60,106,47,125,94,62,3348,1
79,62,63,47,93,63,78,125,47,78,31,78,109,176,13,3587,1
63,172,78,78,140,63,74,67,40,60,106,47,125,94,62,3553,1
109,79,109,78,234,78,110,156,141,62,109,140,16,203,63,3921,2
125,63,62,141,109,32,78,187,78,78,63,109,16,63,94,3845,2
109,79,109,94,109,109,63,78,141,62,109,140,16,203,63,4874,2
94,156,250,141,62,94,109,78,156,63,62,94,62,47,78,4562,2
47,47,62,141,125,156,78,125,63,62,63,79,78,62,266,3488,2
94,156,250,94,15,62,109,78,156,63,62,94,62,47,78,5671,2
94,141,250,47,47,62,47,31,63,62,78,32,141,78,16,3049,2
78,172,16,47,125,16,94,31,15,63,78,31,94,63,125,3707,2
94,141,250,47,203,78,91,875,63,62,78,32,141,78,16,8140,2
78,31,109,63,32,78,62,110,16,188,359,218,47,47,62,3000,2
62,16,47,94,47,16,62,94,62,63,94,94,15,156,16,2969,2
78,31,109,94,78,78,62,78,16,188,359,218,47,47,62,4467,2
94,31,140,62,16,94,94,110,125,63,109,62,94,94,109,4296,2
