@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,3,4,5,6,7,9,11,13,14,16,17,18,19,20,21,22,24,25,26,27,29,35,38,39,40'

@attribute ft1 numeric
@attribute ft3 numeric
@attribute dtfk4 numeric
@attribute dtsk4 numeric
@attribute dtsk5 numeric
@attribute ft8 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute sum numeric
@attribute gender {1,2}

@data
78,78,79,78,109,94,47,63,78,125,62,93,78,47,31,94,3941,1
31,62,93,140,94,766,47,141,78,94,188,47,62,94,63,62,5077,1
47,52,40,380,125,94,47,63,125,32,0,47,78,32,16,78,3507,1
31,31,78,78,125,94,63,63,312,63,94,62,141,62,31,79,3018,1
0,16,40,380,94,922,47,63,125,32,0,47,78,79,16,78,5659,1
94,563,78,79,93,125,125,63,63,93,63,63,62,63,110,78,4205,1
47,109,63,62,125,125,62,63,78,110,62,110,78,78,47,78,3438,1
78,78,78,79,125,78,125,63,63,93,63,63,62,78,110,78,3585,1
31,31,109,172,156,109,0,453,140,47,63,32,79,31,32,78,3983,1
46,0,125,78,156,125,93,78,829,31,93,109,110,62,31,109,4546,1
0,32,109,172,157,141,0,453,140,47,63,32,79,109,32,78,5156,1
78,16,63,62,94,94,32,110,78,94,63,141,78,31,62,63,3438,1
0,31,78,52,188,297,78,63,62,110,62,141,15,31,47,78,3129,1
47,62,63,62,78,62,32,110,78,94,63,141,78,78,62,63,3866,1
16,63,93,78,94,31,78,62,78,110,78,93,110,125,32,125,3953,1
16,31,78,78,109,141,78,63,62,94,62,125,235,125,235,125,3921,1
31,47,93,78,94,78,78,62,78,110,78,93,110,125,32,125,3623,1
16,0,47,203,62,297,16,94,157,31,62,31,47,156,16,62,3231,1
78,109,344,0,31,32,78,78,0,47,63,78,16,31,31,94,4361,1
79,78,47,203,125,0,16,94,157,31,62,31,47,94,16,62,4186,1
62,62,78,78,88,94,234,93,94,140,79,78,109,78,109,94,5854,1
63,94,62,78,78,125,281,93,94,172,78,213,110,78,125,93,5009,1
0,15,78,78,250,88,234,93,94,140,79,78,109,93,109,94,5833,1
47,32,78,110,110,62,63,79,63,47,15,63,63,48,109,78,3717,1
63,32,15,31,94,32,31,63,16,78,62,31,31,16,109,16,2360,1
15,15,78,110,31,0,63,79,63,47,15,63,63,16,109,78,3677,1
16,32,187,157,94,16,94,63,94,203,63,47,171,110,15,94,4960,1
110,125,78,47,172,47,93,62,16,141,62,47,78,531,63,93,5704,1
110,63,187,157,110,0,94,63,94,203,63,47,171,93,15,94,5814,1
93,93,94,125,125,157,94,94,125,94,78,109,93,94,62,79,4233,1
78,78,94,109,171,125,47,78,156,47,110,187,453,94,94,94,4563,1
16,63,94,125,141,94,94,94,125,94,78,109,93,94,62,79,4142,1
63,62,78,94,98,109,93,78,78,110,46,94,63,63,62,94,3677,1
32,47,94,78,78,125,78,47,94,93,78,125,109,63,109,63,3404,1
78,15,78,94,78,78,93,78,78,110,46,94,63,63,62,94,3484,1
47,16,94,156,140,93,15,94,250,31,125,125,114,78,0,109,4112,1
16,47,125,63,187,94,62,93,125,93,94,110,110,62,0,125,3546,1
0,32,94,156,140,109,15,94,250,31,125,125,114,125,0,109,4802,1
15,31,78,141,125,47,47,63,62,140,63,109,16,0,62,156,3298,1
15,16,78,63,125,47,78,63,78,93,32,31,187,94,31,78,3000,1
31,31,78,141,94,0,47,63,62,140,63,109,16,78,62,156,4078,1
47,203,297,203,137,109,157,125,94,78,109,141,78,94,31,110,4810,1
16,31,93,78,137,94,110,79,109,63,141,375,109,15,15,78,3762,1
110,16,297,203,140,94,157,125,94,78,109,141,78,78,31,110,4143,1
78,141,110,203,109,93,156,125,109,63,78,109,93,78,47,78,5623,1
15,485,125,62,109,94,79,94,78,110,109,94,172,79,31,94,5015,1
375,78,110,203,125,109,156,125,109,63,78,109,93,94,47,78,6649,1
47,47,109,78,31,78,94,62,47,125,47,62,63,31,78,16,3281,1
156,63,31,16,31,47,31,62,94,0,62,47,31,32,62,0,3485,1
156,63,109,78,31,0,94,62,47,125,47,62,63,0,78,16,4676,1
15,15,110,125,125,32,125,93,47,141,31,31,63,46,93,47,4046,1
31,15,16,94,125,47,47,79,0,93,47,1000,156,0,63,93,4154,1
62,16,110,125,15,78,125,93,47,141,31,31,63,93,93,47,6861,1
62,31,63,78,78,203,40,106,47,125,63,63,62,63,79,62,3348,1
47,297,79,63,47,125,47,31,78,109,63,101,13,63,141,62,3587,1
62,47,63,78,78,67,40,106,47,125,63,63,62,62,79,62,3553,1
78,297,109,109,78,156,141,109,140,16,62,109,63,32,16,62,3921,2
47,203,125,62,141,187,78,63,109,16,78,125,94,78,16,78,3845,2
16,172,109,109,94,78,141,109,140,16,62,109,63,78,16,62,4874,2
16,94,94,250,141,78,156,62,94,62,94,109,78,156,47,110,4562,2
31,62,47,62,141,125,63,63,79,78,62,94,266,16,31,78,3488,2
63,47,94,250,94,78,156,62,94,62,94,109,78,78,47,110,5671,2
47,16,94,250,47,31,63,78,32,141,31,16,16,16,31,78,3049,2
15,31,78,16,47,31,15,78,31,94,31,968,125,16,31,110,3707,2
93,16,94,250,47,875,63,78,32,141,31,16,16,110,31,78,8140,2
16,32,78,109,63,110,16,359,218,47,16,16,62,16,46,63,3000,2
359,15,62,47,94,94,62,94,94,15,62,94,16,16,47,47,2969,2
78,15,78,109,94,78,16,359,218,47,16,16,62,47,46,63,4467,2
