@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,4,5,6,7,8,9,15,17,18,19,21,23,24,25,26,27,29,33,34,35,37,38,39,40,41,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtfk6 numeric
@attribute ft7 numeric
@attribute dtfk8 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk12 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
125,16,93,188,78,78,31,94,31,109,78,62,78,110,110,125,1
156,16,78,0,78,0,31,62,31,78,78,63,62,94,235,125,1
109,31,93,188,78,0,0,0,16,78,78,62,78,110,110,125,1
125,16,47,109,203,203,47,31,63,47,16,94,157,31,47,62,1
47,78,344,94,0,1469,140,94,62,125,78,78,0,47,16,94,1
16,79,47,109,203,141,15,125,719,78,16,94,157,31,47,62,1
141,62,78,203,78,78,249,78,344,78,234,93,94,140,109,94,1
109,63,62,157,78,62,204,93,172,109,281,93,94,172,110,93,1
110,0,78,203,78,1109,63,32,203,78,234,93,94,140,109,94,1
156,47,78,79,110,110,15,31,16,94,63,79,63,47,63,78,1
15,63,15,94,31,141,0,79,78,46,31,63,16,78,31,16,1
63,15,78,79,110,438,125,93,32,93,63,79,63,47,63,78,1
156,16,187,109,157,157,156,109,94,218,94,63,94,203,171,94,1
125,110,78,141,47,172,0,63,125,297,93,62,16,141,78,93,1
250,110,187,109,157,94,156,94,140,110,94,63,94,203,171,94,1
125,93,94,125,125,125,78,94,63,78,94,94,125,94,93,79,1
141,78,94,47,109,109,32,94,140,109,47,78,156,47,453,94,1
109,16,94,125,125,125,47,47,110,110,94,94,125,94,93,79,1
78,63,78,125,94,94,219,78,109,94,93,78,78,110,63,94,1
109,32,94,31,78,94,187,78,15,94,78,47,94,93,109,63,1
78,78,78,125,94,110,234,15,0,94,93,78,78,110,63,94,1
93,47,94,47,156,156,32,172,31,141,15,94,250,31,114,109,1
94,16,125,0,63,110,78,94,109,94,62,93,125,93,110,125,1
250,0,94,47,156,125,79,16,15,94,15,94,250,31,114,109,1
125,15,78,16,141,141,62,78,63,140,47,63,62,140,16,156,1
78,15,78,78,63,0,15,63,78,172,78,63,78,93,187,78,1
78,31,78,16,141,187,0,94,63,78,47,63,62,140,16,156,1
93,47,297,16,203,203,15,78,16,78,157,125,94,78,78,110,1
172,16,93,32,78,156,16,125,0,94,110,79,109,63,109,78,1
