@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,4,5,6,8,9,10,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,34,35,36,38,39,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk3 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
16,79,31,109,203,94,157,31,62,94,78,16,62,1
141,62,94,203,78,93,94,140,79,78,78,109,94,1
109,63,109,157,78,93,94,172,78,78,94,125,93,1
110,0,407,203,78,93,94,140,79,93,78,109,94,1
156,47,140,79,110,79,63,47,15,48,46,109,78,1
15,63,93,94,31,63,16,78,62,16,16,109,16,1
63,15,110,79,110,79,63,47,15,16,46,109,78,1
156,16,109,109,157,63,94,203,63,110,141,15,94,1
125,110,94,141,47,62,16,141,62,531,125,63,93,1
250,110,93,109,157,63,94,203,63,93,141,15,94,1
125,93,94,125,125,94,125,94,78,94,109,62,79,1
141,78,94,47,109,78,156,47,110,94,109,94,94,1
109,16,93,125,125,94,125,94,78,94,109,62,79,1
78,63,63,125,94,78,78,110,46,63,110,62,94,1
109,32,62,31,78,47,94,93,78,63,78,109,63,1
78,78,63,125,94,78,78,110,46,63,110,62,94,1
93,47,171,47,156,94,250,31,125,78,125,0,109,1
94,16,110,0,63,93,125,93,94,62,78,0,125,1
250,0,109,47,156,94,250,31,125,125,125,0,109,1
125,15,78,16,141,63,62,140,63,0,110,62,156,1
78,15,125,78,63,63,78,93,32,94,94,31,78,1
78,31,78,16,141,63,62,140,63,78,110,62,156,1
93,47,109,16,203,125,94,78,109,94,109,31,110,1
172,16,94,32,78,79,109,63,141,15,78,15,78,1
62,110,94,16,203,125,94,78,109,78,109,31,110,1
94,78,109,109,203,125,109,63,78,78,94,47,78,1
500,15,109,47,62,94,78,110,109,79,78,31,94,1
93,375,110,109,203,125,109,63,78,94,94,47,78,1
156,47,141,31,78,62,47,125,47,31,0,78,16,1
78,156,47,156,16,62,94,0,62,32,31,62,0,1
78,156,31,31,78,62,47,125,47,0,0,78,16,1
110,15,141,31,125,93,47,141,31,46,15,93,47,1
47,31,94,110,94,79,0,93,47,0,0,63,93,1
32,62,203,31,125,93,47,141,31,93,15,93,47,1
