@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,3,4,5,6,9,10,11,13,14,18,19,20,22,23,25,26,27,28,29,31,35,37,39,42,43'

@attribute ft1 numeric
@attribute dtfk3 numeric
@attribute ft3 numeric
@attribute dtsk4 numeric
@attribute dtsk5 numeric
@attribute dtfk6 numeric
@attribute ft6 numeric
@attribute dtsk7 numeric
@attribute dtsk8 numeric
@attribute dtsk10 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute dtsk12 numeric
@attribute ft13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
78,63,15,94,78,15,109,63,125,78,110,46,94,63,31,110,62,1
47,171,16,156,140,172,15,109,125,94,31,125,125,114,109,125,0,1
16,110,47,63,187,94,109,78,78,93,93,94,110,110,140,78,0,1
0,109,32,156,140,16,125,94,110,94,31,125,125,114,0,125,0,1
15,78,31,141,125,78,79,78,63,63,140,63,109,16,110,110,62,1
15,125,16,63,125,63,62,0,63,63,93,32,31,187,15,94,31,1
31,78,31,141,94,94,0,62,31,63,140,63,109,16,141,110,62,1
47,109,203,203,137,78,63,94,94,125,78,109,141,78,109,109,31,1
16,94,31,78,137,125,78,94,125,79,63,141,375,109,78,78,15,1
110,94,16,203,140,32,125,172,375,125,78,109,141,78,15,109,31,1
78,109,141,203,109,78,390,110,78,125,63,78,109,93,94,94,47,1
15,109,485,62,109,125,63,78,78,94,110,109,94,172,78,78,31,1
375,110,78,203,125,78,78,110,94,125,63,78,109,93,484,94,47,1
47,141,47,78,31,47,62,31,32,62,125,47,62,63,78,0,78,1
156,47,63,16,31,62,79,31,63,62,0,62,47,31,78,31,62,1
156,31,63,78,31,15,109,93,47,62,125,47,62,63,79,0,78,1
15,141,15,125,125,125,31,203,93,93,141,31,31,63,109,15,93,1
31,94,15,94,125,93,63,46,62,79,93,47,1000,156,94,0,63,1
62,203,16,125,15,63,47,453,1000,93,141,31,31,63,63,15,93,1
62,63,31,78,78,62,141,62,47,106,125,63,63,62,94,78,79,1
47,63,297,63,47,106,67,63,47,31,109,63,101,13,78,62,141,1
62,62,47,78,78,27,86,63,101,106,125,63,63,62,141,78,79,1
78,109,297,109,78,63,125,78,62,109,16,62,109,63,78,63,16,2
47,93,203,62,141,109,47,32,63,63,16,78,125,94,265,78,16,2
16,78,172,109,94,93,251,109,125,109,16,62,109,63,219,63,16,2
16,62,94,250,141,47,125,94,141,62,62,94,109,78,63,93,47,2
31,63,62,62,141,62,94,156,110,63,78,62,94,266,78,110,31,2
63,94,47,250,94,32,46,62,94,62,62,94,109,78,110,93,47,2
