@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,7,8,9,11,16,17,18,19,23,24,25,26,27,29,39,41,42,43'

@attribute dtsk2 numeric
@attribute dtfk4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtfk14 numeric
@attribute gender {1,2}

@data
47,79,47,47,31,94,15,63,78,62,63,78,94,63,125,62,47,63,125,62,1
63,31,63,46,47,94,16,62,62,63,93,78,78,47,78,172,78,78,62,46,1
172,79,225,225,40,110,47,78,15,47,109,78,63,93,47,15,62,32,93,94,1
109,78,62,609,734,0,93,32,109,78,78,79,78,172,110,94,78,78,0,15,1
47,79,225,0,47,141,31,172,47,47,109,78,63,93,47,15,62,47,78,94,1
63,93,140,140,188,109,578,94,78,47,141,78,94,188,47,78,62,47,109,93,1
63,79,78,125,207,109,78,47,94,47,63,78,125,62,93,110,78,47,438,94,1
63,93,140,47,687,94,453,78,63,47,141,78,94,188,47,78,62,94,47,93,1
78,40,380,380,47,125,16,62,94,47,63,125,32,0,47,15,78,32,94,62,1
0,78,78,0,47,125,31,32,78,63,63,312,63,94,62,94,141,62,32,78,1
78,40,380,125,140,94,0,32,76,47,63,125,32,0,47,15,78,79,31,62,1
78,78,79,79,250,93,141,62,62,125,63,63,93,63,63,125,62,63,125,62,1
63,63,62,94,125,125,78,63,78,62,63,78,110,62,110,62,78,78,63,63,1
47,78,79,78,172,125,125,83,47,125,63,63,93,63,63,125,62,78,78,62,1
78,109,172,172,31,156,16,93,109,0,453,140,47,63,32,46,79,31,94,78,1
16,125,78,110,125,156,63,31,94,93,78,829,31,93,109,78,110,62,47,157,1
110,109,172,172,93,157,78,94,94,0,453,140,47,63,32,46,79,109,0,78,1
78,63,62,62,94,94,31,94,93,32,110,78,94,63,141,0,78,31,79,78,1
16,78,52,78,94,188,62,31,47,78,63,62,110,62,141,94,15,31,31,78,1
94,63,62,79,78,78,47,78,109,32,110,78,94,63,141,0,78,78,47,78,1
78,93,78,78,31,94,31,78,109,78,62,78,110,78,93,125,110,125,125,78,1
78,78,78,0,31,109,31,125,78,78,63,62,94,62,125,94,235,125,0,62,1
78,93,78,0,0,94,16,94,78,78,62,78,110,78,93,125,110,125,31,78,1
125,47,203,203,47,62,63,31,47,16,94,157,31,62,31,31,47,156,110,78,1
63,344,0,1469,140,31,62,156,125,78,78,0,47,63,78,156,16,31,125,63,1
62,47,203,141,15,125,719,109,78,16,94,157,31,62,31,31,47,94,0,78,1
94,78,78,78,249,88,344,407,78,234,93,94,140,79,78,47,109,78,391,78,1
94,62,78,62,204,78,172,78,109,281,93,94,172,78,213,94,110,78,516,94,1
78,78,78,1109,63,250,203,78,78,234,93,94,140,79,78,47,109,93,235,78,1
140,78,110,110,15,110,16,110,94,63,79,63,47,15,63,31,63,48,5,46,1
46,15,31,141,0,94,78,48,46,31,63,16,78,62,31,109,31,16,94,16,1
32,78,110,438,125,31,32,79,93,63,79,63,47,15,63,31,63,16,110,46,1
109,187,157,157,156,94,94,93,218,94,63,94,203,63,47,157,171,110,93,141,1
94,78,47,172,0,172,125,110,297,93,62,16,141,62,47,172,78,531,140,125,1
125,187,157,94,156,110,140,78,110,94,63,94,203,63,47,157,171,93,110,141,1
94,94,125,125,78,125,63,93,78,94,94,125,94,78,109,110,93,94,47,109,1
94,94,109,109,32,171,140,94,109,47,78,156,47,110,187,94,453,94,31,109,1
78,94,125,125,47,141,110,78,110,94,94,125,94,78,109,110,93,94,78,109,1
