@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R2,4,5,6,7,8,9,12,13,14,15,16,17,18,19,20,21,23,24,25,26,27,28,29,34,35,37,38,39,40,41,42,43'

@attribute dtfk1 numeric
@attribute dtsk1 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtfk8 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtsk12 numeric
@attribute gender {1,2}

@data
63,94,78,63,93,62,94,47,94,110,1
78,62,63,15,78,94,109,16,31,125,1
141,82,118,53,125,78,110,94,187,125,1
109,62,110,15,16,93,94,125,78,250,1
125,110,118,53,171,78,110,94,187,125,1
94,78,94,15,31,79,63,109,140,62,1
78,62,78,79,15,125,78,79,78,15,1
140,63,94,15,110,79,63,109,140,62,1
125,94,109,63,125,78,141,46,32,109,1
172,78,94,31,63,79,156,47,94,219,1
94,47,109,63,94,78,141,46,32,109,1
78,110,78,156,109,94,94,125,78,94,1
203,125,78,16,78,79,78,110,78,32,1
78,78,78,156,63,94,94,125,78,94,1
62,78,63,47,78,79,79,140,47,78,1
78,62,62,32,78,47,109,94,62,78,1
63,47,63,47,63,79,79,140,47,78,1
94,93,78,250,422,344,140,234,63,78,1
313,32,46,79,359,78,16,93,63,62,1
78,156,78,250,94,344,140,234,63,78,1
93,93,78,234,79,78,63,140,94,78,1
63,62,62,188,93,62,78,140,78,344,1
62,94,78,234,62,78,63,140,94,78,1
93,93,62,110,187,63,125,47,63,93,1
78,94,78,31,62,63,125,15,78,547,1
31,0,62,110,94,63,125,47,63,93,1
156,94,109,32,156,375,156,47,78,78,1
62,94,94,93,93,78,78,47,125,0,1
47,62,109,32,125,375,156,47,78,78,1
125,110,93,94,78,63,94,78,94,78,1
187,78,78,31,93,110,110,93,78,32,1
78,78,93,94,79,63,94,78,94,78,1
125,94,109,250,62,110,47,156,79,94,1
110,94,78,219,109,63,78,109,79,140,1
94,93,109,250,109,110,47,156,79,94,1
63,93,63,93,141,73,78,31,125,110,1
62,47,47,16,78,63,140,0,63,62,1
78,31,63,93,78,73,78,31,125,110,1
109,110,47,391,110,78,109,125,109,78,1
94,109,78,141,63,78,125,31,62,78,1
78,32,47,391,0,78,109,125,109,78,1
125,110,93,485,125,78,47,62,109,93,1
93,94,109,47,78,62,125,62,125,94,1
156,94,93,485,109,78,47,62,109,93,1
62,93,31,125,78,93,78,78,47,78,1
172,93,79,46,78,63,78,94,63,47,1
62,63,31,125,62,93,78,78,47,78,1
93,156,79,128,15,109,78,63,93,62,1
78,109,78,47,109,78,79,78,172,78,1
78,78,79,128,47,109,78,63,93,62,1
63,63,93,63,78,141,78,94,188,62,1
62,125,79,62,94,63,78,125,62,78,1
62,47,93,63,63,141,78,94,188,62,1
78,94,40,271,94,63,125,32,0,78,1
62,78,78,32,78,63,312,63,94,141,1
63,62,40,271,76,63,125,32,0,78,1
78,94,78,140,62,63,63,93,63,62,1
63,78,63,94,78,63,78,110,62,78,1
63,78,78,140,47,63,63,93,63,62,1
126,125,109,31,109,453,140,47,63,79,1
125,125,125,15,94,78,829,31,93,110,1
141,62,109,31,94,453,140,47,63,79,1
62,110,63,78,93,110,78,94,63,78,1
94,78,78,61,47,63,62,110,62,15,1
94,31,63,78,109,110,78,94,63,78,1
125,94,93,188,109,62,78,110,78,110,1
156,62,78,0,78,63,62,94,62,235,1
109,125,93,188,78,62,78,110,78,110,1
125,109,47,109,47,94,157,31,62,47,1
47,16,344,94,125,78,0,47,63,16,1
16,31,47,109,78,94,157,31,62,47,1
141,110,78,203,78,93,94,140,79,109,1
109,93,62,157,109,93,94,172,78,110,1
110,78,78,203,78,93,94,140,79,109,1
156,47,78,79,94,79,63,47,15,63,1
15,31,15,94,46,63,16,78,62,31,1
63,16,78,79,93,79,63,47,15,63,1
156,125,187,109,218,63,94,203,63,171,1
125,109,78,141,297,62,16,141,62,78,1
250,531,187,109,110,63,94,203,63,171,1
125,125,94,125,78,94,125,94,78,93,1
141,125,94,47,109,78,156,47,110,453,1
109,94,94,125,110,94,125,94,78,93,1
78,109,78,125,94,78,78,110,46,63,1
109,62,94,31,94,47,94,93,78,109,1
78,63,78,125,94,78,78,110,46,63,1
93,110,94,47,141,94,250,31,125,114,1
94,109,125,0,94,93,125,93,94,110,1
250,62,94,47,94,94,250,31,125,114,1
125,78,78,16,140,63,62,140,63,16,1
78,94,78,78,172,63,78,93,32,187,1
78,94,78,16,78,63,62,140,63,16,1
93,94,297,16,78,125,94,78,109,78,1
172,78,93,32,94,79,109,63,141,109,1
62,15,297,16,78,125,94,78,109,78,1
94,125,110,109,110,125,109,63,78,93,1
500,156,125,47,110,94,78,110,109,172,1
93,79,110,109,78,125,109,63,78,93,1
156,78,109,31,78,62,47,125,47,63,1
78,32,31,156,31,62,94,0,62,31,1
78,32,109,31,16,62,47,125,47,63,1
110,109,110,31,203,93,47,141,31,63,1
47,109,16,110,16,79,0,93,47,156,1
32,0,110,31,94,93,47,141,31,63,1
94,62,63,172,63,106,47,125,63,62,1
78,62,79,62,78,31,78,109,63,13,1
63,63,63,172,74,106,47,125,63,62,1
78,110,109,79,110,109,140,16,62,63,2
78,78,125,63,78,63,109,16,78,94,2
78,78,109,79,63,109,140,16,62,63,2
375,78,94,156,109,62,94,62,94,78,2
94,78,47,47,78,63,79,78,62,266,2
171,16,94,156,109,62,94,62,94,78,2
109,172,94,141,47,78,32,141,31,16,2
63,109,78,172,94,78,31,94,31,125,2
32,16,94,141,91,78,32,141,31,16,2
62,109,78,31,62,359,218,47,16,62,2
47,94,62,16,62,94,94,15,62,16,2
63,16,78,31,62,359,218,47,16,62,2
172,94,94,31,94,109,62,94,62,109,2
219,94,94,62,94,63,94,109,62,78,2
140,16,94,31,62,109,62,94,62,109,2
57,113,90,63,79,78,69,111,41,109,2
192,79,78,31,94,150,78,94,94,141,2
74,79,90,63,47,78,69,111,41,109,2
110,125,109,63,109,78,156,63,141,125,2
94,94,156,16,110,63,110,47,62,62,2
187,410,109,63,141,78,156,63,141,125,2
93,125,93,32,78,78,94,78,47,78,2
125,94,62,16,94,63,94,31,63,15,2
78,32,93,32,94,78,94,78,47,78,2
62,78,78,219,94,1015,79,125,62,62,2
62,63,62,63,63,62,93,110,93,485,2
31,47,78,219,63,1015,79,125,62,62,2
109,109,125,63,94,109,78,93,203,78,2
94,78,94,31,109,78,109,110,62,62,2
125,78,125,63,94,109,78,93,203,78,2
93,125,94,31,110,79,125,62,109,94,2
94,62,78,32,94,93,79,93,140,0,2
79,62,94,31,78,79,125,62,109,94,2
94,78,79,15,110,78,94,94,47,78,2
94,63,78,32,78,78,78,94,78,31,2
62,78,79,15,109,78,94,94,47,78,2
63,63,47,62,156,156,63,109,62,31,2
63,78,93,47,78,47,62,125,63,94,2
203,16,47,62,47,156,63,109,62,31,2
140,141,94,62,94,62,141,62,125,94,2
125,110,93,32,94,46,109,31,110,47,2
31,16,94,62,516,62,141,62,125,94,2
63,78,62,63,78,94,78,93,63,62,2
78,79,63,78,63,63,78,94,63,78,2
94,78,62,63,78,94,78,93,63,62,2
109,63,78,47,78,78,47,63,109,62,2
47,78,16,93,16,78,31,62,79,62,2
94,0,78,47,78,78,47,63,109,62,2
94,109,62,157,94,79,79,78,78,93,2
94,93,93,0,110,78,78,110,78,94,2
110,78,62,157,79,79,79,78,78,93,2
94,62,63,94,63,109,78,94,63,78,2
94,63,62,63,78,78,63,109,78,125,2
63,63,63,94,62,109,78,94,63,78,2
78,157,156,0,266,62,31,109,47,0,2
94,94,15,78,156,63,15,125,46,141,2
47,16,156,0,31,62,31,109,47,0,2
62,109,78,62,110,94,141,0,62,32,2
78,93,47,78,156,46,63,172,16,500,2
78,78,78,62,63,94,141,0,62,32,2
