@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R2,3,4,5,6,7,8,9,13,16,17,18,21,22,23,24,25,26,27,29,30,33,34,35,38,39,40,41,42,43'

@attribute dtfk1 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtfk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute gender {1,2}

@data
140,94,15,63,62,79,110,172,78,63,109,62,79,1
125,109,63,78,125,47,46,16,265,141,46,109,41,1
172,94,31,94,125,203,172,116,31,156,47,219,47,1
94,109,63,78,125,110,32,31,265,141,46,109,46,1
78,78,156,141,16,125,78,16,47,94,125,94,109,1
203,78,16,62,15,94,109,63,63,78,110,32,78,1
78,78,156,141,109,125,94,15,47,94,125,94,63,1
62,63,47,62,141,62,62,110,78,79,140,78,47,1
78,62,32,93,157,62,94,203,47,109,94,78,47,1
63,63,47,62,140,78,78,31,78,79,140,78,78,1
94,78,250,328,62,172,47,78,62,140,234,78,62,1
313,46,79,31,62,172,140,235,62,16,93,62,156,1
78,78,250,328,63,172,109,141,62,140,234,78,79,1
93,78,234,94,47,94,63,218,78,63,140,78,78,1
63,62,188,62,63,109,78,250,62,78,140,344,94,1
62,78,234,94,203,109,78,375,78,63,140,78,62,1
93,62,110,250,63,63,125,46,78,125,47,93,47,1
78,78,31,78,16,63,78,16,63,125,15,547,0,1
31,62,110,250,938,31,109,32,78,125,47,93,78,1
156,109,32,171,16,109,63,62,31,156,47,78,47,1
62,94,93,47,31,109,94,109,63,78,47,0,62,1
47,109,32,171,31,125,62,125,31,156,47,78,94,1
125,93,94,78,203,63,141,0,141,94,78,78,78,1
187,78,31,63,0,94,94,63,234,110,93,32,78,1
78,93,94,78,171,63,109,16,141,94,78,78,78,1
125,109,250,78,110,78,125,140,94,47,156,94,63,1
110,78,219,93,78,78,62,328,93,78,109,140,93,1
94,109,250,78,250,94,94,187,94,47,156,94,93,1
63,63,93,156,31,63,78,125,78,78,31,110,78,1
62,47,16,47,594,656,62,125,62,140,0,62,31,1
78,63,93,156,16,94,94,31,78,78,31,110,78,1
109,47,391,438,31,46,78,31,94,109,125,78,15,1
94,78,141,78,32,46,31,78,63,125,31,78,32,1
78,47,391,438,31,94,110,31,94,109,125,78,94,1
125,93,485,594,47,140,78,141,47,47,62,93,0,1
93,109,47,78,31,141,32,110,62,125,62,94,94,1
156,93,485,594,16,109,125,78,47,47,62,93,93,1
62,31,125,63,171,79,62,32,63,78,78,78,63,1
172,79,46,47,31,94,78,15,62,78,94,47,63,1
62,31,125,63,47,94,62,16,63,78,78,78,78,1
93,79,128,225,40,110,63,47,47,78,63,62,32,1
78,78,47,62,734,0,79,93,78,79,78,78,78,1
78,79,128,225,47,141,94,31,47,78,63,62,47,1
63,93,63,140,188,109,63,578,47,78,94,62,47,1
62,79,62,78,207,109,94,78,47,78,125,78,47,1
62,93,63,140,687,94,125,453,47,78,94,62,94,1
78,40,271,380,47,125,47,16,47,125,32,78,32,1
62,78,32,78,47,125,62,31,63,312,63,141,62,1
63,40,271,380,140,94,62,0,47,125,32,78,79,1
78,78,140,79,250,93,47,141,125,63,93,62,63,1
63,63,94,62,125,125,78,78,62,78,110,78,78,1
63,78,140,79,172,125,63,125,125,63,93,62,78,1
126,109,31,172,31,156,94,16,0,140,47,79,31,1
125,125,15,78,125,156,31,63,93,829,31,110,62,1
141,109,31,172,93,157,94,78,0,140,47,79,109,1
62,63,78,62,94,94,78,31,32,78,94,78,31,1
94,78,61,52,94,188,63,62,78,62,110,15,31,1
94,63,78,62,78,78,94,47,32,78,94,78,78,1
125,93,188,78,31,94,110,31,78,78,110,110,125,1
156,78,0,78,31,109,156,31,78,62,94,235,125,1
109,93,188,78,0,94,156,16,78,78,110,110,125,1
125,47,109,203,47,62,31,63,16,157,31,47,156,1
47,344,94,0,140,31,0,62,78,0,47,16,31,1
16,47,109,203,15,125,125,719,16,157,31,47,94,1
141,78,203,78,249,88,78,344,234,94,140,109,78,1
109,62,157,78,204,78,78,172,281,94,172,110,78,1
110,78,203,78,63,250,94,203,234,94,140,109,93,1
156,78,79,110,15,110,78,16,63,63,47,63,48,1
15,15,94,31,0,94,16,78,31,16,78,31,16,1
63,78,79,110,125,31,625,32,63,63,47,63,16,1
156,187,109,157,156,94,110,94,94,94,203,171,110,1
125,78,141,47,0,172,125,125,93,16,141,78,531,1
250,187,109,157,156,110,141,140,94,94,203,171,93,1
125,94,125,125,78,125,109,63,94,125,94,93,94,1
141,94,47,109,32,171,110,140,47,156,47,453,94,1
109,94,125,125,47,141,125,110,94,125,94,93,94,1
78,78,125,94,219,98,78,109,93,78,110,63,63,1
109,94,31,78,187,78,110,15,78,94,93,109,63,1
78,78,125,94,234,78,93,0,93,78,110,63,63,1
93,94,47,156,32,140,94,31,15,250,31,114,78,1
94,125,0,63,78,187,62,109,62,125,93,110,62,1
250,94,47,156,79,140,141,15,15,250,31,114,125,1
125,78,16,141,62,125,78,63,47,62,140,16,0,1
78,78,78,63,15,125,78,78,78,78,93,187,94,1
78,78,16,141,0,94,140,63,47,62,140,16,78,1
93,297,16,203,15,137,125,16,157,94,78,78,94,1
172,93,32,78,16,137,109,0,110,109,63,109,15,1
62,297,16,203,47,140,47,16,157,94,78,78,78,1
94,110,109,203,78,109,125,47,156,109,63,93,78,1
500,125,47,62,15,109,46,109,79,78,110,172,79,1
93,110,109,203,47,125,141,31,156,109,63,93,94,1
156,109,31,78,32,31,15,47,94,47,125,63,31,1
78,31,156,16,625,31,47,79,31,94,0,31,32,1
78,109,31,78,193,31,78,32,94,47,125,63,0,1
110,110,31,125,31,125,63,125,125,47,141,63,46,1
47,16,110,94,0,125,0,16,47,0,93,156,0,1
32,110,31,125,720,15,250,78,125,47,141,63,93,1
94,63,172,78,31,78,78,79,40,47,125,62,63,1
78,79,62,63,250,47,94,93,47,78,109,13,63,1
63,63,172,78,188,78,78,140,40,47,125,62,62,1
78,109,79,109,31,78,47,234,141,140,16,63,32,2
78,125,63,62,31,141,94,109,78,109,16,94,78,2
78,109,79,109,16,94,125,109,141,140,16,63,78,2
375,94,156,250,31,141,109,62,156,94,62,78,156,2
94,47,47,62,32,141,47,125,63,79,78,266,16,2
171,94,156,250,94,94,63,15,156,94,62,78,78,2
109,94,141,250,47,47,62,47,63,32,141,16,16,2
63,78,172,16,47,47,47,125,15,31,94,125,16,2
32,94,141,250,1000,47,94,203,63,32,141,16,110,2
62,78,31,109,31,63,62,32,16,218,47,62,16,2
47,62,16,47,15,94,31,47,62,94,15,16,16,2
63,78,31,109,31,94,125,78,16,218,47,62,47,2
172,94,31,140,31,62,93,16,125,62,94,109,125,2
219,94,62,78,16,62,31,109,78,94,109,78,16,2
140,94,31,140,16,78,109,16,125,62,94,109,78,2
57,90,63,80,442,110,89,36,47,69,111,109,81,2
192,78,31,78,411,65,89,24,58,78,94,141,79,2
74,90,63,80,185,103,11,73,47,69,111,109,78,2
110,109,63,172,47,109,79,78,110,156,63,125,15,2
94,156,16,78,31,109,109,94,78,110,47,62,410,2
187,109,63,172,15,109,93,172,110,156,63,125,125,2
93,93,32,187,0,78,63,31,16,94,78,78,20,2
125,62,16,62,31,78,47,117,47,94,31,15,32,2
78,93,32,187,47,63,63,15,16,94,78,78,125,2
62,78,219,62,31,47,63,109,547,79,125,62,62,2
62,62,63,78,94,78,79,125,31,93,110,485,47,2
31,78,219,62,78,109,94,219,547,79,125,62,63,2
109,125,63,109,47,125,94,0,63,78,93,78,47,2
94,94,31,110,78,187,16,62,78,109,110,62,78,2
125,125,63,109,78,110,94,31,63,78,93,78,94,2
93,94,31,79,31,140,78,16,31,125,62,94,31,2
94,78,32,78,59,124,62,94,63,79,93,0,62,2
79,94,31,79,31,125,78,16,31,125,62,94,62,2
94,79,15,140,47,90,109,0,47,94,94,78,16,2
94,78,32,94,16,93,31,140,63,78,94,31,78,2
62,79,15,140,63,125,62,31,47,94,94,78,94,2
63,47,62,78,125,79,62,16,94,63,109,31,47,2
63,93,47,63,62,141,110,62,32,62,125,94,16,2
203,47,62,78,46,110,62,16,94,63,109,31,62,2
140,94,62,172,15,100,94,46,78,141,62,94,16,2
125,93,32,78,46,110,16,141,47,109,31,47,16,2
31,94,62,172,94,125,79,15,78,141,62,94,79,2
63,62,63,78,62,79,63,78,109,78,93,62,47,2
78,63,78,63,125,62,78,125,62,78,94,78,78,2
94,62,63,78,125,63,62,78,109,78,93,62,63,2
109,78,47,125,47,47,93,16,15,47,63,62,16,2
47,16,93,32,500,47,609,47,31,31,62,62,0,2
94,78,47,125,47,62,31,78,15,47,63,62,16,2
94,62,157,78,172,62,79,78,141,79,78,93,94,2
94,93,0,94,157,78,125,141,94,78,110,94,78,2
110,62,157,78,156,94,140,63,141,79,78,93,94,2
94,63,94,78,187,63,63,62,156,78,94,78,78,2
94,62,63,62,62,78,62,94,63,63,109,125,63,2
63,63,94,78,140,47,63,47,156,78,94,78,47,2
78,156,0,78,78,180,63,16,78,31,109,0,31,2
94,15,78,47,47,187,62,47,94,15,125,141,16,2
47,156,0,78,15,172,125,94,78,31,109,0,63,2
62,78,62,109,31,125,94,141,63,141,0,32,31,2
78,47,78,31,31,125,78,78,94,63,172,500,78,2
78,78,62,109,0,94,78,47,63,141,0,32,78,2
